"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7796078Aligned.sortedByCoord.out.bam","SeuratProject",1276844,4621,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796075Aligned.sortedByCoord.out.bam","SeuratProject",1111768,9610,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7796077Aligned.sortedByCoord.out.bam","SeuratProject",1454819,8226,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796074Aligned.sortedByCoord.out.bam","SeuratProject",1316079,6934,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7796071Aligned.sortedByCoord.out.bam","SeuratProject",878525,12261,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7796072Aligned.sortedByCoord.out.bam","SeuratProject",1116002,8622,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7796066Aligned.sortedByCoord.out.bam","SeuratProject",626638,6098,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7796067Aligned.sortedByCoord.out.bam","SeuratProject",1077117,11005,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7796068Aligned.sortedByCoord.out.bam","SeuratProject",1294472,10285,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7796069Aligned.sortedByCoord.out.bam","SeuratProject",945914,10084,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7796065Aligned.sortedByCoord.out.bam","SeuratProject",513129,6654,"marmoset","newworld","primate","Am_CS7","6","6"
"CME25A7796059Aligned.sortedByCoord.out.bam","SeuratProject",1363916,11635,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796062Aligned.sortedByCoord.out.bam","SeuratProject",4883941,11945,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7796064Aligned.sortedByCoord.out.bam","SeuratProject",550101,10715,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796058Aligned.sortedByCoord.out.bam","SeuratProject",1332610,10114,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7796063Aligned.sortedByCoord.out.bam","SeuratProject",4885120,14696,"marmoset","newworld","primate","Gland_CS7","6","6"
"CME25A7796056Aligned.sortedByCoord.out.bam","SeuratProject",159520,7269,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7796061Aligned.sortedByCoord.out.bam","SeuratProject",899457,11707,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7796049Aligned.sortedByCoord.out.bam","SeuratProject",90373,6377,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7796048Aligned.sortedByCoord.out.bam","SeuratProject",2369347,15516,"marmoset","newworld","primate","Zy_CS1","13","13"
"CME25A7796043Aligned.sortedByCoord.out.bam","SeuratProject",2310333,15172,"marmoset","newworld","primate","Zy_CS1","13","13"
"CME25A7796044Aligned.sortedByCoord.out.bam","SeuratProject",323482,11905,"marmoset","newworld","primate","Zy_CS1","13","13"
"CME25A7796046Aligned.sortedByCoord.out.bam","SeuratProject",2911009,14612,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7796047Aligned.sortedByCoord.out.bam","SeuratProject",4067821,14378,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7796042Aligned.sortedByCoord.out.bam","SeuratProject",5551434,12383,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7796039Aligned.sortedByCoord.out.bam","SeuratProject",4202372,14844,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7796045Aligned.sortedByCoord.out.bam","SeuratProject",7141623,11561,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796038Aligned.sortedByCoord.out.bam","SeuratProject",4088008,12651,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796036Aligned.sortedByCoord.out.bam","SeuratProject",3322872,11457,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796041Aligned.sortedByCoord.out.bam","SeuratProject",3497874,10828,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796040Aligned.sortedByCoord.out.bam","SeuratProject",4298608,10946,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796037Aligned.sortedByCoord.out.bam","SeuratProject",4619690,11249,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796034Aligned.sortedByCoord.out.bam","SeuratProject",4803381,10827,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796032Aligned.sortedByCoord.out.bam","SeuratProject",4288543,12103,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796035Aligned.sortedByCoord.out.bam","SeuratProject",4600341,10946,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796031Aligned.sortedByCoord.out.bam","SeuratProject",3336784,12119,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796030Aligned.sortedByCoord.out.bam","SeuratProject",5370573,12052,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796033Aligned.sortedByCoord.out.bam","SeuratProject",4587233,11195,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796029Aligned.sortedByCoord.out.bam","SeuratProject",6816780,10806,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796028Aligned.sortedByCoord.out.bam","SeuratProject",6274174,11593,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796024Aligned.sortedByCoord.out.bam","SeuratProject",4359161,10740,"marmoset","newworld","primate","8-cell_CS2","14","14"
"CME25A7796026Aligned.sortedByCoord.out.bam","SeuratProject",3007101,11526,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796021Aligned.sortedByCoord.out.bam","SeuratProject",3927716,12063,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796023Aligned.sortedByCoord.out.bam","SeuratProject",4245879,11758,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796025Aligned.sortedByCoord.out.bam","SeuratProject",4168168,10255,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796027Aligned.sortedByCoord.out.bam","SeuratProject",4646424,10835,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796020Aligned.sortedByCoord.out.bam","SeuratProject",5418800,11007,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796018Aligned.sortedByCoord.out.bam","SeuratProject",4928554,11917,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796022Aligned.sortedByCoord.out.bam","SeuratProject",5829822,11217,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796019Aligned.sortedByCoord.out.bam","SeuratProject",5598451,11574,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796017Aligned.sortedByCoord.out.bam","SeuratProject",5751354,10979,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796016Aligned.sortedByCoord.out.bam","SeuratProject",4507357,11066,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796015Aligned.sortedByCoord.out.bam","SeuratProject",4548148,11011,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796010Aligned.sortedByCoord.out.bam","SeuratProject",5448268,11813,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796014Aligned.sortedByCoord.out.bam","SeuratProject",5742099,11401,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796013Aligned.sortedByCoord.out.bam","SeuratProject",5295023,11774,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796008Aligned.sortedByCoord.out.bam","SeuratProject",4782245,10735,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796012Aligned.sortedByCoord.out.bam","SeuratProject",5267014,11385,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796002Aligned.sortedByCoord.out.bam","SeuratProject",4224003,11178,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796003Aligned.sortedByCoord.out.bam","SeuratProject",4047639,11941,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796004Aligned.sortedByCoord.out.bam","SeuratProject",4231852,12614,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796006Aligned.sortedByCoord.out.bam","SeuratProject",6287233,11059,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796005Aligned.sortedByCoord.out.bam","SeuratProject",3951818,10495,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796009Aligned.sortedByCoord.out.bam","SeuratProject",2608966,11444,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796011Aligned.sortedByCoord.out.bam","SeuratProject",4498312,12307,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796007Aligned.sortedByCoord.out.bam","SeuratProject",5747068,11163,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796000Aligned.sortedByCoord.out.bam","SeuratProject",4068820,10970,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795998Aligned.sortedByCoord.out.bam","SeuratProject",3570095,10907,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7796001Aligned.sortedByCoord.out.bam","SeuratProject",4215104,10706,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795997Aligned.sortedByCoord.out.bam","SeuratProject",2759297,11295,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795996Aligned.sortedByCoord.out.bam","SeuratProject",4558075,10546,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795999Aligned.sortedByCoord.out.bam","SeuratProject",4901289,11669,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795993Aligned.sortedByCoord.out.bam","SeuratProject",4636234,10687,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795992Aligned.sortedByCoord.out.bam","SeuratProject",3759584,11115,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795991Aligned.sortedByCoord.out.bam","SeuratProject",3428059,11436,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795994Aligned.sortedByCoord.out.bam","SeuratProject",3575653,11455,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795995Aligned.sortedByCoord.out.bam","SeuratProject",4297691,11405,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795988Aligned.sortedByCoord.out.bam","SeuratProject",5305368,12023,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795987Aligned.sortedByCoord.out.bam","SeuratProject",3386415,11733,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795989Aligned.sortedByCoord.out.bam","SeuratProject",3457992,11220,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795990Aligned.sortedByCoord.out.bam","SeuratProject",3031532,11216,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795986Aligned.sortedByCoord.out.bam","SeuratProject",3085079,11864,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795983Aligned.sortedByCoord.out.bam","SeuratProject",3167872,11386,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795985Aligned.sortedByCoord.out.bam","SeuratProject",4373716,12007,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795984Aligned.sortedByCoord.out.bam","SeuratProject",3226209,11598,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795981Aligned.sortedByCoord.out.bam","SeuratProject",3674587,10627,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795982Aligned.sortedByCoord.out.bam","SeuratProject",5104018,11172,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795979Aligned.sortedByCoord.out.bam","SeuratProject",4089753,11595,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795980Aligned.sortedByCoord.out.bam","SeuratProject",6207712,11658,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795975Aligned.sortedByCoord.out.bam","SeuratProject",4016516,10946,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795974Aligned.sortedByCoord.out.bam","SeuratProject",2510198,13157,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795976Aligned.sortedByCoord.out.bam","SeuratProject",3182073,11410,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795977Aligned.sortedByCoord.out.bam","SeuratProject",3149334,11563,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795978Aligned.sortedByCoord.out.bam","SeuratProject",3340839,9831,"marmoset","newworld","primate","cMor_CS3","7","7"
"CME25A7795972Aligned.sortedByCoord.out.bam","SeuratProject",2982638,11481,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795971Aligned.sortedByCoord.out.bam","SeuratProject",2355142,9889,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795968Aligned.sortedByCoord.out.bam","SeuratProject",3770138,10213,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795973Aligned.sortedByCoord.out.bam","SeuratProject",5007693,10911,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795969Aligned.sortedByCoord.out.bam","SeuratProject",3498085,9071,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795967Aligned.sortedByCoord.out.bam","SeuratProject",3456845,10232,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795966Aligned.sortedByCoord.out.bam","SeuratProject",4895966,10502,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795970Aligned.sortedByCoord.out.bam","SeuratProject",2917407,10069,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795965Aligned.sortedByCoord.out.bam","SeuratProject",3077445,10077,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795963Aligned.sortedByCoord.out.bam","SeuratProject",3924419,10816,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795962Aligned.sortedByCoord.out.bam","SeuratProject",3659852,10422,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795964Aligned.sortedByCoord.out.bam","SeuratProject",3080715,9964,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795960Aligned.sortedByCoord.out.bam","SeuratProject",2462682,10121,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795957Aligned.sortedByCoord.out.bam","SeuratProject",2591559,10510,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795958Aligned.sortedByCoord.out.bam","SeuratProject",3744566,9744,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795959Aligned.sortedByCoord.out.bam","SeuratProject",3977040,10015,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795961Aligned.sortedByCoord.out.bam","SeuratProject",3774884,9860,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795956Aligned.sortedByCoord.out.bam","SeuratProject",2272814,10079,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795955Aligned.sortedByCoord.out.bam","SeuratProject",3503190,10216,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795953Aligned.sortedByCoord.out.bam","SeuratProject",5706702,11691,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795954Aligned.sortedByCoord.out.bam","SeuratProject",5192269,9997,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795950Aligned.sortedByCoord.out.bam","SeuratProject",4591561,10113,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795951Aligned.sortedByCoord.out.bam","SeuratProject",2360910,10115,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795952Aligned.sortedByCoord.out.bam","SeuratProject",1476950,11023,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795949Aligned.sortedByCoord.out.bam","SeuratProject",2374735,9486,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795948Aligned.sortedByCoord.out.bam","SeuratProject",3362214,10265,"marmoset","newworld","primate","ICM_CS3","7","7"
"CME25A7795946Aligned.sortedByCoord.out.bam","SeuratProject",3132635,9391,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795945Aligned.sortedByCoord.out.bam","SeuratProject",2216547,10204,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795941Aligned.sortedByCoord.out.bam","SeuratProject",1775354,10150,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795944Aligned.sortedByCoord.out.bam","SeuratProject",2415408,10198,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795940Aligned.sortedByCoord.out.bam","SeuratProject",3739104,10103,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795947Aligned.sortedByCoord.out.bam","SeuratProject",3094386,10223,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795942Aligned.sortedByCoord.out.bam","SeuratProject",3067087,7459,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795939Aligned.sortedByCoord.out.bam","SeuratProject",2324649,8891,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795943Aligned.sortedByCoord.out.bam","SeuratProject",2085515,9548,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795937Aligned.sortedByCoord.out.bam","SeuratProject",2069616,9810,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795936Aligned.sortedByCoord.out.bam","SeuratProject",2678366,9901,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795938Aligned.sortedByCoord.out.bam","SeuratProject",2548273,9357,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795932Aligned.sortedByCoord.out.bam","SeuratProject",1932470,10009,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795934Aligned.sortedByCoord.out.bam","SeuratProject",2931123,9903,"marmoset","newworld","primate","ICM_CS3","7","7"
"CME25A7795933Aligned.sortedByCoord.out.bam","SeuratProject",5480641,10181,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795935Aligned.sortedByCoord.out.bam","SeuratProject",4576141,11287,"marmoset","newworld","primate","ICM_CS3","11","11"
"CME25A7795931Aligned.sortedByCoord.out.bam","SeuratProject",2234827,11955,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795930Aligned.sortedByCoord.out.bam","SeuratProject",3666664,13608,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795928Aligned.sortedByCoord.out.bam","SeuratProject",3612729,10878,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795929Aligned.sortedByCoord.out.bam","SeuratProject",4484688,11719,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795922Aligned.sortedByCoord.out.bam","SeuratProject",3101865,11645,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795925Aligned.sortedByCoord.out.bam","SeuratProject",4162645,12030,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795923Aligned.sortedByCoord.out.bam","SeuratProject",5091721,11265,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795927Aligned.sortedByCoord.out.bam","SeuratProject",5724164,12921,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795926Aligned.sortedByCoord.out.bam","SeuratProject",5560059,11726,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795924Aligned.sortedByCoord.out.bam","SeuratProject",3981052,12187,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795920Aligned.sortedByCoord.out.bam","SeuratProject",3319313,10300,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795918Aligned.sortedByCoord.out.bam","SeuratProject",4049211,12054,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795917Aligned.sortedByCoord.out.bam","SeuratProject",4589291,10564,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795921Aligned.sortedByCoord.out.bam","SeuratProject",2801213,10992,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795919Aligned.sortedByCoord.out.bam","SeuratProject",3250790,10725,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795915Aligned.sortedByCoord.out.bam","SeuratProject",3368359,10673,"marmoset","newworld","primate","Epi_CS3","10","10"
