"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7795916Aligned.sortedByCoord.out.bam","SeuratProject",3993271,12001,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795910Aligned.sortedByCoord.out.bam","SeuratProject",3575329,12414,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795912Aligned.sortedByCoord.out.bam","SeuratProject",2971724,11699,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795913Aligned.sortedByCoord.out.bam","SeuratProject",3871250,11657,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795914Aligned.sortedByCoord.out.bam","SeuratProject",3276699,12391,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795909Aligned.sortedByCoord.out.bam","SeuratProject",3400370,11362,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795906Aligned.sortedByCoord.out.bam","SeuratProject",3197338,10825,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795908Aligned.sortedByCoord.out.bam","SeuratProject",7664383,11653,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795911Aligned.sortedByCoord.out.bam","SeuratProject",5591952,11106,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795907Aligned.sortedByCoord.out.bam","SeuratProject",3892775,11765,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795903Aligned.sortedByCoord.out.bam","SeuratProject",6260252,12143,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7795905Aligned.sortedByCoord.out.bam","SeuratProject",4516055,10732,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795904Aligned.sortedByCoord.out.bam","SeuratProject",5681376,11681,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619454Aligned.sortedByCoord.out.bam","SeuratProject",4929409,12201,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7795902Aligned.sortedByCoord.out.bam","SeuratProject",4468745,11926,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619451Aligned.sortedByCoord.out.bam","SeuratProject",4057641,11610,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619455Aligned.sortedByCoord.out.bam","SeuratProject",2410268,11520,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619453Aligned.sortedByCoord.out.bam","SeuratProject",1969803,12173,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619450Aligned.sortedByCoord.out.bam","SeuratProject",4286212,10738,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619452Aligned.sortedByCoord.out.bam","SeuratProject",6496517,11816,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619449Aligned.sortedByCoord.out.bam","SeuratProject",7034382,10577,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619448Aligned.sortedByCoord.out.bam","SeuratProject",5467640,12717,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619444Aligned.sortedByCoord.out.bam","SeuratProject",937100,10468,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619446Aligned.sortedByCoord.out.bam","SeuratProject",3777992,10364,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619443Aligned.sortedByCoord.out.bam","SeuratProject",3381560,11006,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619447Aligned.sortedByCoord.out.bam","SeuratProject",677830,10436,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619445Aligned.sortedByCoord.out.bam","SeuratProject",1480844,9972,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619440Aligned.sortedByCoord.out.bam","SeuratProject",3540890,10808,"marmoset","newworld","primate","Epi_CS3","8","8"
"CME25A7619438Aligned.sortedByCoord.out.bam","SeuratProject",2987175,10717,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619439Aligned.sortedByCoord.out.bam","SeuratProject",5142917,10867,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619442Aligned.sortedByCoord.out.bam","SeuratProject",4144265,10647,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619441Aligned.sortedByCoord.out.bam","SeuratProject",847668,12002,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619436Aligned.sortedByCoord.out.bam","SeuratProject",2950763,11211,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619437Aligned.sortedByCoord.out.bam","SeuratProject",4267669,10186,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619433Aligned.sortedByCoord.out.bam","SeuratProject",2350037,10852,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619432Aligned.sortedByCoord.out.bam","SeuratProject",4140640,10468,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619434Aligned.sortedByCoord.out.bam","SeuratProject",5142722,9695,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619435Aligned.sortedByCoord.out.bam","SeuratProject",1002756,10306,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619426Aligned.sortedByCoord.out.bam","SeuratProject",3291325,11047,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619427Aligned.sortedByCoord.out.bam","SeuratProject",3579182,10916,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619429Aligned.sortedByCoord.out.bam","SeuratProject",1498073,11130,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619431Aligned.sortedByCoord.out.bam","SeuratProject",3465442,10784,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619430Aligned.sortedByCoord.out.bam","SeuratProject",2367812,10008,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619424Aligned.sortedByCoord.out.bam","SeuratProject",293537,10204,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619428Aligned.sortedByCoord.out.bam","SeuratProject",2313669,9804,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619422Aligned.sortedByCoord.out.bam","SeuratProject",3855469,9895,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619423Aligned.sortedByCoord.out.bam","SeuratProject",2105671,9862,"marmoset","newworld","primate","Epi_CS3","10","10"
