"","tSNE_1","tSNE_2"
"CME25A7799589Aligned.sortedByCoord.out.bam",-6.38452923493031,6.91005891675412
"CME25A7799580Aligned.sortedByCoord.out.bam",-9.45266755474744,7.45712085742157
"CME25A7799583Aligned.sortedByCoord.out.bam",15.2475441028531,-3.79226661643938
"CME25A7799582Aligned.sortedByCoord.out.bam",-2.63898331875141,8.69233017395559
"CME25A7799585Aligned.sortedByCoord.out.bam",-6.49841510202341,7.24361483131494
"CME25A7799581Aligned.sortedByCoord.out.bam",-6.98066234921217,4.34403961512621
"CME25A7799586Aligned.sortedByCoord.out.bam",-25.8308177252797,-1.23087622355341
"CME25A7799579Aligned.sortedByCoord.out.bam",-9.36249774962796,7.4600323397019
"CME25A7799573Aligned.sortedByCoord.out.bam",-7.24494380828722,7.65431161381679
"CME25A7799577Aligned.sortedByCoord.out.bam",-9.23790117837458,0.133539282964208
"CME25A7799578Aligned.sortedByCoord.out.bam",-4.68274609039318,5.11809576086748
"CME25A7799571Aligned.sortedByCoord.out.bam",-11.2916178984196,8.93136726701659
"CME25A7799574Aligned.sortedByCoord.out.bam",-7.58456095297095,7.8442148840837
"CME25A7799575Aligned.sortedByCoord.out.bam",-23.1467818186135,1.23935046016529
"CME25A7799570Aligned.sortedByCoord.out.bam",-7.94734166295333,8.12440134098754
"CME25A7799560Aligned.sortedByCoord.out.bam",-11.1036276397867,8.55750037644415
"CME25A7799572Aligned.sortedByCoord.out.bam",-19.9920232124601,4.52180739136163
"CME25A7799569Aligned.sortedByCoord.out.bam",-6.34795511135476,6.83506198572986
"CME25A7799567Aligned.sortedByCoord.out.bam",-6.33707909831613,0.797271448868164
"CME25A7799568Aligned.sortedByCoord.out.bam",-9.98302762285257,10.0644315596046
"CME25A7799566Aligned.sortedByCoord.out.bam",-5.6011196109304,9.46429327440883
"CME25A7799565Aligned.sortedByCoord.out.bam",-6.8212454101459,1.27184109951504
"CME25A7799564Aligned.sortedByCoord.out.bam",-26.1505357580177,-1.28216717010726
"CME25A7799559Aligned.sortedByCoord.out.bam",-7.24403946711715,7.53933192054227
"CME25A7799562Aligned.sortedByCoord.out.bam",4.63248313258922,-2.79250680475604
"CME25A7799561Aligned.sortedByCoord.out.bam",-4.61631809382059,8.94702765667687
"CME25A7796092Aligned.sortedByCoord.out.bam",-18.1901830547482,-1.83099282826929
"CME25A7799557Aligned.sortedByCoord.out.bam",-7.75501673943391,4.61862785668423
"CME25A7799555Aligned.sortedByCoord.out.bam",6.23743340596343,-1.59013600325543
"CME25A7796088Aligned.sortedByCoord.out.bam",-4.93904667509728,7.11829887485389
"CME25A7796084Aligned.sortedByCoord.out.bam",-17.150480625335,-3.37953977937592
"CME25A7796087Aligned.sortedByCoord.out.bam",-17.0877775614345,-3.27058682612895
"CME25A7796089Aligned.sortedByCoord.out.bam",-21.0166226050026,3.64919816523408
"CME25A7796086Aligned.sortedByCoord.out.bam",-7.42467466901424,7.88115386191898
"CME25A7796081Aligned.sortedByCoord.out.bam",-22.4658588077223,1.87637742061938
"CME25A7796079Aligned.sortedByCoord.out.bam",-12.2334077109134,-0.298691312530329
"CME25A7796083Aligned.sortedByCoord.out.bam",-6.59093885699688,2.51736508291557
"CME25A7796082Aligned.sortedByCoord.out.bam",-20.2323646838263,4.69274556076802
"CME25A7796080Aligned.sortedByCoord.out.bam",-22.798325663833,2.23823570139703
"CME25A7796085Aligned.sortedByCoord.out.bam",-16.7086336284688,-2.58229910304943
"CME25A7796076Aligned.sortedByCoord.out.bam",-10.049918554255,4.82796035783814
"CME25A7796078Aligned.sortedByCoord.out.bam",-17.7146446249084,-4.23983501076618
"CME25A7796075Aligned.sortedByCoord.out.bam",-20.1864060240939,4.63582370924879
"CME25A7796077Aligned.sortedByCoord.out.bam",-16.1033943573039,-2.30450693842312
"CME25A7796074Aligned.sortedByCoord.out.bam",-20.2340612512325,4.67558615073593
"CME25A7796071Aligned.sortedByCoord.out.bam",-20.9443126359612,3.50587812961698
"CME25A7796072Aligned.sortedByCoord.out.bam",-13.2895910953147,4.10684729177258
"CME25A7796066Aligned.sortedByCoord.out.bam",-6.05918661904032,4.73074744497885
"CME25A7796067Aligned.sortedByCoord.out.bam",-17.9895691348022,-2.19998161361976
"CME25A7796068Aligned.sortedByCoord.out.bam",-24.2439919043584,-0.684815330238962
"CME25A7796069Aligned.sortedByCoord.out.bam",-14.3173071055146,3.65333101704108
"CME25A7796065Aligned.sortedByCoord.out.bam",-17.4602274286156,-4.51971561450113
"CME25A7796059Aligned.sortedByCoord.out.bam",-17.9463904570548,-2.11843739720138
"CME25A7796062Aligned.sortedByCoord.out.bam",-17.5034197087287,-1.42760144080186
"CME25A7796064Aligned.sortedByCoord.out.bam",-15.8840998245223,-3.6766603547288
"CME25A7796058Aligned.sortedByCoord.out.bam",-24.868309685092,-0.389798599322321
"CME25A7796063Aligned.sortedByCoord.out.bam",-17.6854465366928,-1.56811704567592
"CME25A7796056Aligned.sortedByCoord.out.bam",-9.7162230571583,4.94161102593735
"CME25A7796061Aligned.sortedByCoord.out.bam",-16.122645819383,-2.11791504985911
"CME25A7796049Aligned.sortedByCoord.out.bam",-5.99667708834239,5.99173297850181
"CME25A7796048Aligned.sortedByCoord.out.bam",11.5263305986496,12.9808479986945
"CME25A7796043Aligned.sortedByCoord.out.bam",11.5306076578471,12.9810145983952
"CME25A7796044Aligned.sortedByCoord.out.bam",11.4913468554878,13.0037710436767
"CME25A7796046Aligned.sortedByCoord.out.bam",11.5146204824114,13.1823980484801
"CME25A7796047Aligned.sortedByCoord.out.bam",11.5549595643801,13.187872090872
"CME25A7796042Aligned.sortedByCoord.out.bam",11.5624413698888,13.1720131231081
"CME25A7796039Aligned.sortedByCoord.out.bam",11.5337425843432,13.2081855310904
"CME25A7796045Aligned.sortedByCoord.out.bam",12.8752013720012,17.5735724391149
"CME25A7796038Aligned.sortedByCoord.out.bam",12.9764967902264,17.5009008122116
"CME25A7796036Aligned.sortedByCoord.out.bam",13.0294696298153,17.4936758918422
"CME25A7796041Aligned.sortedByCoord.out.bam",12.9866735424663,17.4844762312882
"CME25A7796040Aligned.sortedByCoord.out.bam",13.0567672748631,17.5011634250842
"CME25A7796037Aligned.sortedByCoord.out.bam",12.7118878535047,17.4065241786908
"CME25A7796034Aligned.sortedByCoord.out.bam",12.7382845095845,17.3861462834889
"CME25A7796032Aligned.sortedByCoord.out.bam",12.6847705781028,17.683687915159
"CME25A7796035Aligned.sortedByCoord.out.bam",12.6708049614311,17.662788001351
"CME25A7796031Aligned.sortedByCoord.out.bam",12.6276198075599,17.6787744098759
"CME25A7796030Aligned.sortedByCoord.out.bam",12.7299829181466,17.6226242442881
"CME25A7796033Aligned.sortedByCoord.out.bam",12.6036501661424,17.7204702054996
"CME25A7796029Aligned.sortedByCoord.out.bam",12.5861007257942,17.707391123048
"CME25A7796028Aligned.sortedByCoord.out.bam",12.6009341426853,17.6817412605726
"CME25A7796024Aligned.sortedByCoord.out.bam",12.7911569837213,17.6412041277399
