"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RETSAT",5.50959373213788e-11,0.378454363414849,0.984,0.712,1.78086598203893e-06,"5","RETSAT"
"ATP6V1B2",5.54961377567426e-11,0.44028971508991,1,0.878,1.79380166071119e-06,"5","ATP6V1B2"
"RBM8A",5.58616949249641e-11,0.394557395902232,1,0.925,1.80561756505961e-06,"5","RBM8A"
"GYG1",5.67180102319819e-11,0.266137246812581,0.984,0.677,1.83329624472835e-06,"5","GYG1"
"GLDC",5.73553693173098e-11,0.450375720292131,1,0.704,1.85389760244341e-06,"5","GLDC"
"AC010323.1",5.85054665219948e-11,0.338249634699416,1,0.867,1.89107219439044e-06,"5","AC010323.1"
"NDUFV2",6.1236206014817e-11,0.439214758825919,1,0.949,1.97933788701693e-06,"5","NDUFV2"
"ENSCJAG00000023375",6.36415471563038e-11,0.320908307562586,0.984,0.705,2.05708572873321e-06,"5","ENSCJAG00000023375"
"DDOST1",6.38591711457195e-11,0.382466223909553,1,0.985,2.06411998894309e-06,"5","DDOST"
"ACTR1A",6.764373599899e-11,0.375038945736077,1,0.842,2.18644847869535e-06,"5","ACTR1A"
"EFCAB14",6.92319616381367e-11,0.325139502883386,0.984,0.707,2.23778469602949e-06,"5","EFCAB14"
"SIVA11",7.16204542516426e-11,0.341094270229888,1,0.802,2.31498794277584e-06,"5","SIVA1"
"UQCRB",7.32538980356126e-11,0.378869779924715,1,0.943,2.36778574620511e-06,"5","UQCRB"
"EMC3",7.49240290254345e-11,0.256513849349019,1,0.663,2.42176939018912e-06,"5","EMC3"
"CLDN71",7.59007152107273e-11,0.466969059690841,1,0.94,2.45333881775634e-06,"5","CLDN7"
"ENSCJAG000000216501",7.78427464675765e-11,0.321225089322752,1,1,2.51611109407147e-06,"5","ENSCJAG00000021650"
"DKC1",7.95543215420771e-11,0.462089506603982,1,0.791,2.57143433520456e-06,"5","DKC1"
"EFTUD2",8.73522849785451e-11,0.46896518739312,1,0.839,2.82348790736151e-06,"5","EFTUD2"
"GPI",9.02731043920633e-11,0.415383853096674,1,0.782,2.91789755326466e-06,"5","GPI"
"TECR",9.14235654702228e-11,0.375412619182441,1,0.923,2.95508390669401e-06,"5","TECR"
"ENSCJAG000000155491",9.27879626576752e-11,0.326152488415768,1,0.996,2.99918531698403e-06,"5","ENSCJAG00000015549"
"ENSCJAG00000010749",9.3613834644016e-11,0.353420029956183,1,0.902,3.02587997719853e-06,"5","ENSCJAG00000010749"
"ENSCJAG00000016143",9.41008561582957e-11,0.453715550002596,1,0.898,3.04162197360459e-06,"5","ENSCJAG00000016143"
"ENSCJAG00000020971",9.57949709584524e-11,0.417012190187171,1,0.892,3.09638084629006e-06,"5","ENSCJAG00000020971"
"ERP29",9.70827917497271e-11,0.315188625657831,1,0.903,3.13800707772643e-06,"5","ERP29"
"POLR2E",1.0237944499821e-10,0.364250127330169,1,0.932,3.30921080067715e-06,"5","POLR2E"
"ENSCJAG00000002621",1.02780962638665e-10,0.256622252557694,1,0.649,3.32218905536956e-06,"5","ENSCJAG00000002621"
"PEX16",1.05880037507429e-10,0.259228003589974,0.903,0.593,3.42236045235264e-06,"5","PEX16"
"PSMC1",1.05983409303996e-10,0.347407089108281,1,0.839,3.42570173893307e-06,"5","PSMC1"
"KIF2C",1.10895633965094e-10,0.300081983535313,0.952,0.628,3.58447957665375e-06,"5","KIF2C"
"THRAP3",1.1091115827399e-10,0.388688984196039,1,0.925,3.58498136889019e-06,"5","THRAP3"
"NDUFAF1",1.14953781391805e-10,0.402663432105675,1,0.698,3.71565107592733e-06,"5","NDUFAF1"
"TSR1",1.15154839631633e-10,0.359539568427315,0.952,0.56,3.72214988141327e-06,"5","TSR1"
"NUTF2",1.26216331973914e-10,0.31144687934049,1,0.829,4.07969049839282e-06,"5","NUTF2"
"RFC4",1.28670990112385e-10,0.288456119187817,1,0.737,4.15903241340263e-06,"5","RFC4"
"CIAO1",1.29583167462455e-10,0.354561632814012,0.984,0.702,4.18851672188895e-06,"5","CIAO1"
"WASHC3",1.30215702107296e-10,0.298571483513654,1,0.657,4.20896213921413e-06,"5","WASHC3"
"TIMM21",1.31531520252232e-10,0.343457478798233,1,0.726,4.25149332911288e-06,"5","TIMM21"
"CDK4",1.33361090938615e-10,0.388892147994114,1,0.856,4.31063054240885e-06,"5","CDK4"
"ENSCJAG00000015463",1.41938950718887e-10,0.402972088456326,1,0.776,4.58789270408659e-06,"5","ENSCJAG00000015463"
"GTF2F1",1.48289048998521e-10,0.306488632426935,1,0.783,4.7931469307792e-06,"5","GTF2F1"
"ANKRD54",1.55080576323475e-10,0.381887791641918,1,0.754,5.01266946850369e-06,"5","ANKRD54"
"TET21",1.58423014883475e-10,0.418737223322033,1,0.777,5.12070711007856e-06,"5","TET2"
"DNAJC7",1.65012509866594e-10,0.375008246960229,0.984,0.832,5.33369935641792e-06,"5","DNAJC7"
"TRUB2",1.65704112368677e-10,0.31113143396078,1,0.815,5.35605402409276e-06,"5","TRUB2"
"BANF1",1.67009469927171e-10,0.270301534793384,1,0.883,5.39824709645596e-06,"5","BANF1"
"DCTN2",1.70434926505912e-10,0.424734657411636,1,0.881,5.50896812945058e-06,"5","DCTN2"
"HSDL2",1.71104621922487e-10,0.280437168965642,1,0.844,5.53061469440054e-06,"5","HSDL2"
"PIP4K2C",1.71685433976341e-10,0.275461431660374,0.984,0.712,5.54938828241727e-06,"5","PIP4K2C"
"ENSCJAG00000015397",1.72152107641539e-10,0.399620645562697,1,0.985,5.56447257529745e-06,"5","ENSCJAG00000015397"
"BUD31",1.77527476132391e-10,0.326309989055845,1,0.862,5.73822061102729e-06,"5","BUD31"
"CCDC86",1.84913229488469e-10,0.264721702099309,0.919,0.605,5.97695031675578e-06,"5","CCDC86"
"MRPS10",1.87731446042782e-10,0.309765935659666,0.984,0.81,6.06804353044085e-06,"5","MRPS10"
"BZW2",1.88680673181023e-10,0.34743348107844,1,0.925,6.09872539923022e-06,"5","BZW2"
"CFL1",1.96809271424143e-10,0.346016802456215,1,0.986,6.36146608024256e-06,"5","CFL1"
"NDUFA9",2.03389068586866e-10,0.397177541261427,1,0.795,6.57414486393328e-06,"5","NDUFA9"
"SLC7A7",2.07660340029826e-10,0.339821420421606,1,0.645,6.71220517078407e-06,"5","SLC7A7"
"TBC1D1",2.24940984327791e-10,0.275636487474536,0.984,0.663,7.27076743642719e-06,"5","TBC1D1"
"TRAPPC2L",2.28740054042863e-10,0.345537707315331,1,0.912,7.39356476682748e-06,"5","TRAPPC2L"
"PES1",2.31489808053208e-10,0.391469450848951,0.984,0.806,7.48244506570384e-06,"5","PES1"
"PSMD9",2.52897845499414e-10,0.292143519704246,1,0.698,8.17441706007757e-06,"5","PSMD9"
"COQ6",2.71213974356147e-10,0.360305346227599,0.984,0.779,8.76644929311373e-06,"5","COQ6"
"PSMB61",2.79322129382776e-10,0.339065406077473,1,0.978,9.02852918803947e-06,"5","PSMB6"
"CDC37",2.95106760436242e-10,0.311785320606524,1,0.935,9.53873581758065e-06,"5","CDC37"
"BCKDK",3.06674033516686e-10,0.308010491030095,0.984,0.849,9.91262478535983e-06,"5","BCKDK"
"MED8",3.11294082052025e-10,0.276853870867314,0.871,0.522,1.00619586141676e-05,"5","MED8"
"TIMM17A",3.12339546626912e-10,0.380787242750988,1,0.925,1.00957511656217e-05,"5","TIMM17A"
"MRPS18B",3.13920583653722e-10,0.428405455666097,1,0.791,1.01468550254393e-05,"5","MRPS18B"
"GGCX",3.16564458568762e-10,0.35522436657945,1,0.767,1.02323129943181e-05,"5","GGCX"
"ABRACL",3.30025439315532e-10,0.28090898380972,1,0.834,1.06674122749959e-05,"5","ABRACL"
"KLF41",3.42269234400228e-10,0.258376983141357,1,0.625,1.10631684635186e-05,"5","KLF4"
"SAFB",3.54757693485994e-10,0.375062965760614,1,0.889,1.14668329265478e-05,"5","SAFB"
"PGAM11",3.87867399685055e-10,0.437867470965678,1,0.95,1.253703796002e-05,"5","PGAM1"
"SHMT2",4.01250578919242e-10,0.501511780756244,0.984,0.777,1.29696224624067e-05,"5","SHMT2"
"RDH111",4.10403364980981e-10,0.441423262647877,1,0.842,1.32654679662802e-05,"5","RDH11"
"ABCF2",4.27864289103796e-10,0.295451579778944,0.968,0.673,1.3829857416702e-05,"5","ABCF2"
"ENSCJAG00000006445",4.30286797112484e-10,0.257513328768725,1,0.816,1.39081601430668e-05,"5","ENSCJAG00000006445"
"TRIM5",4.38461075886122e-10,0.302747936319024,0.935,0.611,1.41723773558671e-05,"5","TRIM5"
"ABHD121",4.3926639559484e-10,0.319963530645166,1,0.908,1.4198407704812e-05,"5","ABHD12"
"FASN2",4.55120290283856e-10,0.326782949148022,1,0.96,1.47108531428451e-05,"5","FASN"
"POLR1D",4.6739238479343e-10,0.336338087557859,1,0.95,1.5107524053678e-05,"5","POLR1D"
"PIGT",4.70740502121599e-10,0.416070651203785,1,0.888,1.52157452500764e-05,"5","PIGT"
"ENSCJAG000000095642",4.76439598229766e-10,0.290038452164053,1,0.999,1.53999571335807e-05,"5","ENSCJAG00000009564"
"GMNN",4.85748577185046e-10,0.374871711036821,1,0.857,1.57008512603522e-05,"5","GMNN"
"MECR",5.02662939039122e-10,0.34398318642244,1,0.835,1.62475741785615e-05,"5","MECR"
"ENSCJAG00000005019",5.15679609066123e-10,0.365395098927424,1,0.997,1.66683120038443e-05,"5","ENSCJAG00000005019"
"VPS29",5.30769352343811e-10,0.276513516926499,1,0.949,1.7156057775809e-05,"5","VPS29"
"MTDH",5.32272240431394e-10,0.279485095487965,1,0.735,1.7204635627464e-05,"5","MTDH"
"WDR73",5.41751790307628e-10,0.418780931637658,0.984,0.714,1.75110431181135e-05,"5","WDR73"
"HADH1",5.45739984366803e-10,0.408499943414038,0.968,0.733,1.76399535146882e-05,"5","HADH"
"EIF4A3",5.90289763505387e-10,0.256317688508163,1,0.79,1.90799360257846e-05,"5","EIF4A3"
"ISCA2",5.95881192569795e-10,0.26670819547443,0.984,0.74,1.92606677874335e-05,"5","ISCA2"
"PSENEN",5.98874976765127e-10,0.316251260880331,1,0.894,1.93574358739792e-05,"5","PSENEN"
"ENSCJAG00000014551",6.07208966381668e-10,0.272474909434671,1,0.788,1.96268154203547e-05,"5","ENSCJAG00000014551"
"MRPL16",6.16276129360471e-10,0.298817706382723,1,0.792,1.99198933293185e-05,"5","MRPL16"
"ENSCJAG000000112472",6.42213802679608e-10,0.334898701149527,1,0.996,2.0758276744013e-05,"5","ENSCJAG00000011247"
"DTYMK",6.70290054175927e-10,0.251131247812241,1,0.783,2.16657854211285e-05,"5","DTYMK"
"YWHAH",7.09696771985578e-10,0.376389692871839,1,0.927,2.29395287608898e-05,"5","YWHAH"
"CXorf38",7.19878779461607e-10,0.301589347099934,0.984,0.625,2.32686417885375e-05,"5","CXorf38"
"ALDH4A1",7.24621477716068e-10,0.314115251559662,1,0.684,2.34219400242165e-05,"5","ALDH4A1"
"NUP37",7.53853678636141e-10,0.261839537924091,0.952,0.667,2.4366812454556e-05,"5","NUP37"
"GRN",7.63563575921792e-10,0.352883006537806,1,0.96,2.46806654645201e-05,"5","GRN"
"ELAC2",7.68430961913336e-10,0.425709767917992,0.968,0.806,2.48379939819248e-05,"5","ELAC2"
"COQ5",7.68626887734682e-10,0.307740903393133,0.952,0.622,2.48443268922481e-05,"5","COQ5"
"CNDP2",7.83415025644644e-10,0.290478138616341,1,0.824,2.53223238739118e-05,"5","CNDP2"
"POLE2",7.8808646877544e-10,0.422424178282858,0.984,0.739,2.54733189302285e-05,"5","POLE2"
"ENSCJAG000000224561",7.93514020502261e-10,0.278035577997404,1,0.94,2.56487536846946e-05,"5","ENSCJAG00000022456"
"ENSCJAG00000017277",8.20963026601173e-10,0.38782838979323,1,0.89,2.65359879088297e-05,"5","ENSCJAG00000017277"
"CORO1B",8.22317288663447e-10,0.374412007785239,0.984,0.844,2.65797617214686e-05,"5","CORO1B"
"UNG",8.37131523457346e-10,0.401080197155889,0.984,0.769,2.70586022327118e-05,"5","UNG"
"COX6A1",8.63471219558814e-10,0.324909777858889,1,0.971,2.79099802297995e-05,"5","COX6A1"
"ENSCJAG00000009510",8.73796353284686e-10,0.280822294595794,1,0.886,2.82437195272209e-05,"5","ENSCJAG00000009510"
"DHRS7B",8.92936817277186e-10,0.323661998500176,0.968,0.747,2.88623967448505e-05,"5","DHRS7B"
