27050,27035,27036
27051,27050,27036
27051,27036,27037
27052,27051,27037
27052,27037,27038
27053,27052,27038
27053,27038,27039
27054,27053,27039
27054,27039,27040
27055,26890,26877
27055,26877,27042
27056,27055,27042
27056,27042,27043
27057,27056,27043
27057,27043,27044
27058,27057,27044
27058,27044,27045
27059,27058,27045
27059,27045,27046
27060,27059,27046
27060,27046,27047
27061,27060,27047
27061,27047,27048
27062,27061,27048
27062,27048,27049
27063,27062,27049
27063,27049,27050
27064,27063,27050
27064,27050,27051
27065,27064,27051
27065,27051,27052
27066,27065,27052
27066,27052,27053
27067,27066,27053
27067,27053,27054
27068,26904,26890
27068,26890,27055
27069,27068,27055
27069,27055,27056
27070,27069,27056
27070,27056,27057
27071,27070,27057
27071,27057,27058
27072,27071,27058
27072,27058,27059
27073,27072,27059
27073,27059,27060
27074,27073,27060
27074,27060,27061
27075,27074,27061
27075,27061,27062
27076,27075,27062
27076,27062,27063
27077,27076,27063
27077,27063,27064
27078,27077,27064
27078,27064,27065
27079,27078,27065
27079,27065,27066
27080,27079,27066
27080,27066,27067
27081,26918,26904
27081,26904,27068
27082,27081,27068
27082,27068,27069
27083,27082,27069
27083,27069,27070
27084,27083,27070
27084,27070,27071
27085,27084,27071
27085,27071,27072
27086,27085,27072
27086,27072,27073
27087,27086,27073
27087,27073,27074
27088,27087,27074
27088,27074,27075
27089,27088,27075
27089,27075,27076
27090,27089,27076
27090,27076,27077
27091,27090,27077
27091,27077,27078
27092,27091,27078
27092,27078,27079
27093,27092,27079
27093,27079,27080
27094,26932,27081
27094,27081,27082
27095,27094,27082
27095,27082,27083
27096,27095,27083
27096,27083,27084
27097,27096,27084
27097,27084,27085
27098,27097,27085
27098,27085,27086
27099,27098,27086
27099,27086,27087
27100,27099,27087
27100,27087,27088
27101,27100,27088
27101,27088,27089
27102,27101,27089
27102,27089,27090
27103,27102,27090
27103,27090,27091
27104,27103,27091
27104,27091,27092
27002,26837,26933
27002,26933,27105
26800,26770,27002
26800,27002,27105
27105,26933,27133
27105,27133,27106
27108,26800,27105
27108,27105,27106
27108,27106,27107
27108,27107,27109
27112,26802,27108
27112,27108,27109
27109,27107,27136
27109,27136,27110
27112,27109,27110
27112,27110,27113
26806,26805,27112
26806,27112,27113
27113,27110,27111
27113,27111,27114
26809,26806,27113
26809,27113,27115
27115,27113,27114
27115,27114,27116
26811,26809,27115
26811,27115,27117
27117,27115,27116
27117,27116,27118
27118,27116,27140
27118,27140,27119
26814,27117,27118
26814,27118,27120
27120,27118,27119
27120,27119,27121
27121,27119,27144
27121,27144,27122
27123,27014,26783
27123,26783,26815
26819,26814,27120
26819,27120,27124
27124,27120,27121
27124,27121,27125
27125,27121,27122
27125,27122,27126
27127,27123,26815
27127,26815,26820
27128,27127,26820
27128,26820,26821
27129,27128,26821
27129,26821,26822
27130,27129,26822
27130,26822,26823
26823,26818,26819
26823,26819,27130
