shot,tissue,x,y,z
243_AK,ExMes,215.4398898,228.3248019,-32.40188237
243_AU,ExMes,-123.266633,89.56210942,-14.99238225
246_S,ExMes,141.1411735,-220.4077076,32.62322145
246_Y,ExMes,305.48781,-7.337008253,31.09034036
246_AA,ExMes,306.6271822,38.90260822,33.0068954
246_AC,ExMes,305.6054166,9.017875049,24.5289159
246_AE,ExMes,292.0088703,153.6490814,19.36246851
246_AO,ExMes,184.0600313,244.172802,32.33263361
246_AQ,ExMes,126.4700017,233.7888612,11.14894267
249_S,ExMes,-246.7196927,-127.6467682,84.7647024
255_AJ,ExMes,371.555206,194.450974,168.236481
255_AL,ExMes,485.7102527,158.1254807,170.9998772
229_D,ExMes,33.69629461,24.85134,-254.5085184
229_F,ExMes,114.9165701,64.69518296,-258.0361084
229_H,ExMes,-33.01974488,12.58502139,-243.869216
229_L,ExMes,150.3665805,99.3678933,-249.8820325
229_N,ExMes,-145.0162177,-42.37133193,-235.4555111
237_AH,ExMes,199.6163958,64.3250684,-112.4454646
237_AJ,ExMes,200.213862,19.05831593,-105.6182478
237_AL,ExMes,156.030146,-35.40824511,-132.6844412
237_AZ,ExMes,70.45330706,-191.1208902,-99.23315914
237_BB,ExMes,131.5788483,-114.3634879,-104.9207266
237_BD,ExMes,165.7436678,-79.46825252,-102.2273345
237_BH,ExMes,217.4619886,-107.0696409,-122.1689154
240_AS,ExMes,-149.4628906,29.74482768,-62.81990059
240_AU,ExMes,-176.6655273,-46.3740846,-62.12743251
243_G,ExMes,-93.643857,125.5996442,-16.57020389
249_E,ExMes,-225.9792717,-146.2209613,100.6802224
252_C,ExMes,-169.5593991,4.685520267,143.7290937
252_E,ExMes,-162.6692295,148.2602567,124.4263973
252_G,ExMes,-89.1048567,197.0900286,125.4987473
252_I,ExMes,-22.5144988,198.4774801,120.9526642
255_L,ExMes,-64.27821755,150.5352756,184.8707895
237_P,ExMes,-147.5851079,-233.6460453,-113.0478206
234_I,ExMes,-250.4768036,-125.4329856,-162.2867005
255_AR,ExMes,15.3562145,241.0490073,174.4330881
255_AV,ExMes,-179.2196989,70.3493528,174.7917804
237_BL,ExMes,138.7809351,209.3642609,-114.7457575
237_AT,ExMes,9.850592685,-211.4890161,-124.1284025
234_AC,ExMes,175.5241421,127.1221022,-150.0027613
252_AM,ExMes,419.4421411,78.35197382,129.1283318
237_AR,ExMes,-89.64463876,-283.6101721,-110.1490691
237_BF,ExMes,126.0141041,15.21311805,-161.4498646
234_F,ExMes,-174.4495622,37.67029544,-164.8116427
234_J,ExMes,-178.0842084,-136.4135093,-147.8797052
234_L,ExMes,-53.16621756,-144.0697121,-168.4461471
234_R,ExMes,39.39710576,-43.44166686,-181.122664
234_T,ExMes,82.25342373,-71.89056659,-167.6625599
234_V,ExMes,144.4124006,-34.41880041,-143.7365851
234_X,ExMes,112.708435,37.47899513,-165.6935894
234_Z,ExMes,152.3692129,46.87760646,-159.0328006
234_AB,ExMes,177.1957967,81.57673154,-153.6202862
234_AD,ExMes,241.8809077,143.7176501,-153.7216529
234_AH,ExMes,83.76775488,138.359246,-176.6867613
234_AL,ExMes,65.030345,243.5736974,-179.9012637
234_AN,ExMes,129.4324637,180.3212837,-162.7691161
240_AP,ExMes,154.8798014,-148.5144942,-91.94238539
240_AT,ExMes,-163.2530633,-6.91637192,-62.6559213
246_D,ExMes,-12.87481994,258.3902266,28.61664706
246_H,ExMes,-227.9037007,29.73626133,26.38472811
246_L,ExMes,-245.145293,-250.9372454,29.81464463
246_R,ExMes,85.34053562,-254.7782182,38.44808566
246_X,ExMes,285.6188001,77.27293076,16.06989244
246_AB,ExMes,290.6783912,-44.35737995,15.8772166
246_AD,ExMes,290.0262013,-53.79788137,31.03030272
249_B,ExMes,-226.3872142,-172.4053439,99.69837385
249_T,ExMes,-144.9904705,-223.2745027,107.4051611
252_B,ExMes,-169.2399808,-60.20015597,144.0752777
252_D,ExMes,-154.6104726,67.93443879,125.3493115
252_F,ExMes,-128.4931908,175.587091,125.8456791
252_AL,ExMes,333.6760193,125.6152692,140.5333951
252_AN,ExMes,364.4237484,125.4962483,163.9773419
255_Y,ExMes,295.0050916,235.1001468,172.7956373
255_AG,ExMes,370.8949226,183.5913898,168.7679264
255_AI,ExMes,412.6617634,284.5901446,163.1773751
255_AK,ExMes,461.1937786,239.1168531,175.9001209
255_AM,ExMes,440.7179285,94.19674267,172.108333
229_A,ExMes,142.0359694,20.97824314,-256.031355
229_C,ExMes,9.34326158,-43.97769941,-263.0980065
229_E,ExMes,77.57250975,48.90605536,-256.6928081
229_I,ExMes,4.739412473,58.63606385,-239.3001819
229_K,ExMes,93.00900812,93.22653638,-247.2118349
229_M,ExMes,-183.2599681,-64.11335507,-236.0344467
229_Q,ExMes,23.60428207,117.1300383,-227.7506757
229_S,ExMes,139.106477,156.4618259,-229.3447149
237_AG,ExMes,186.9647226,115.4186279,-112.4486095
237_AI,ExMes,262.1640283,68.91306422,-122.4042835
237_AK,ExMes,190.7644327,-7.102033338,-113.2698177
237_AQ,ExMes,-48.32825692,-237.4607188,-103.6445118
237_AS,ExMes,-20.23539924,-229.995807,-115.6587461
237_AY,ExMes,90.97291655,-138.0203359,-114.797621
237_BA,ExMes,174.2415898,170.9691812,-111.5710084
237_BC,ExMes,129.3859232,-184.4523942,-121.6074515
237_BE,ExMes,172.7098162,5.549129894,-141.6002127
237_BG,ExMes,186.789743,-151.5330631,-114.7106691
237_BI,ExMes,73.94135333,118.015265,-174.8858884
237_BK,ExMes,107.6336507,131.0279768,-172.3581478
