,V1,V2,V3,V4
CME25A7851566Aligned.sortedByCoord.out.bam,P2_E15B_204_N,CS5,Tb_CS5_ExMes,1
CME25A7851638Aligned.sortedByCoord.out.bam,P2_E15B_204_W,CS5,Am_CS5,1
CME25A7851563Aligned.sortedByCoord.out.bam,P2_E15B_213_X,CS5,Gland_CS5,1
CME25A7851630Aligned.sortedByCoord.out.bam,P2_E15B_204_V,CS5,VE_CS5_EmDisc,1
CME25A7851565Aligned.sortedByCoord.out.bam,P2_E15B_204_B,CS5,EmDisc_CS5,1
CME25A7851652Aligned.sortedByCoord.out.bam,P2_E15B_213_AU,CS5,ReGland_CS5,1
CME25A7851620Aligned.sortedByCoord.out.bam,P2_E15B_213_AQ,CS5,Tb_CS5,1
CME25A7851564Aligned.sortedByCoord.out.bam,P2_E15B_213_AJ,CS5,Tb_CS5,1
CME25A7851636Aligned.sortedByCoord.out.bam,P2_E15B_213_AS,CS5,Tb_CS5,1
CME25A7851570Aligned.sortedByCoord.out.bam,P2_E15B_213_M,CS5,VE_CS5,1
CME25A7851596Aligned.sortedByCoord.out.bam,P2_E15B_213_AN,CS5,Gland_CS5,1
X3536STDY8652481Aligned.sortedByCoord.out.bam,E15A_29_O,CS5,Gland_CS5,1
X3536STDY8652497Aligned.sortedByCoord.out.bam,E15A_29_Q,CS5,Gland_CS5,1
X3536STDY8652504Aligned.sortedByCoord.out.bam,E15A_29_D,CS5,Stroma_CS5,1
X3536STDY8652505Aligned.sortedByCoord.out.bam,E15A_29_R,CS5,Gland_CS5,1
X3536STDY8652512Aligned.sortedByCoord.out.bam,E15A_29_G,CS5,Stroma_CS5,1
X3536STDY8652513Aligned.sortedByCoord.out.bam,E15A_29_S,CS5,Gland_CS5,1
X3536STDY8652520Aligned.sortedByCoord.out.bam,E15A_29_H,CS5,Gland_CS5,1
X3536STDY8652521Aligned.sortedByCoord.out.bam,E15A_29_T,CS5,Gland_CS5,1
X3536STDY8652528Aligned.sortedByCoord.out.bam,E15A_29_I,CS5,Gland_CS5,1
X3536STDY8652529Aligned.sortedByCoord.out.bam,E15A_29_U,CS5,Gland_CS5,1
X3536STDY8652536Aligned.sortedByCoord.out.bam,E15A_29_J,CS5,Gland_CS5,1
X3536STDY8652537Aligned.sortedByCoord.out.bam,E15A_29_V,CS5,Gland_CS5,1
X3536STDY8652544Aligned.sortedByCoord.out.bam,E15A_29_K,CS5,Gland_CS5,1
X3536STDY8652545Aligned.sortedByCoord.out.bam,E15A_29_W,CS5,Gland_CS5,1
X3536STDY8652552Aligned.sortedByCoord.out.bam,E15A_29_L,CS5,Gland_CS5,1
X3536STDY8652553Aligned.sortedByCoord.out.bam,E15A_29_X,CS5,Gland_CS5,1
X3536STDY8652560Aligned.sortedByCoord.out.bam,E15A_29_M,CS5,Gland_CS5,1
X3536STDY8652561Aligned.sortedByCoord.out.bam,E15A_29_Y,CS5,Gland_CS5,1
X3536STDY8652568Aligned.sortedByCoord.out.bam,E15A_29_N,CS5,Gland_CS5,1
X3536STDY8652569Aligned.sortedByCoord.out.bam,E15A_29_Z,CS5,Gland_CS5,1
CME25A7619418Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e2_4,Pre,4-cell_CS2,1
CME25A7619410Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e2_3,Pre,4-cell_CS2,1
CME25A7619402Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e2_2,Pre,4-cell_CS2,1
CME25A7619394Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e2_1,Pre,4-cell_CS2,1
CME25A7619386Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e1_4,Pre,4-cell_CS2,1
CME25A7619378Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e1_3,Pre,4-cell_CS2,1
CME25A7619370Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e1_2,Pre,4-cell_CS2,1
CME25A7619362Aligned.sortedByCoord.out.bam,P5_CM_2601A_4C_e1_1,Pre,4-cell_CS2,1
ERR2851716Aligned.sortedByCoord.out.bam,E-MTAB-7078:Zygote_1,Pre,Zy_CS1,1
ERR2851717Aligned.sortedByCoord.out.bam,E-MTAB-7078:Zygote_2,Pre,Zy_CS1,1
ERR2851718Aligned.sortedByCoord.out.bam,E-MTAB-7078:Zygote_3,Pre,Zy_CS1,1
ERR2851719Aligned.sortedByCoord.out.bam,E-MTAB-7078:4cell_1_C1,Pre,4-cell_CS2,1
