shot,tissue,x,y,z
E15C1_220_T,SYS,-116.2646486,60.51618651,165.9950427
E15C1_220_U,SYS,-95.61811011,44.43831824,164.1780984
E15C1_206_K,Stalk,-84.16305113,246.3010864,-51.72398065
E15C1_198_AO,Stalk,-56.6067439,129.3854658,-175.9060969
E15C1_208_C,Stalk,-16.2531226,230.9627807,-29.63784654
E15C1_210_Y,Stalk,-69.05674386,232.9994147,-5.25773293
E15C1_212_AF,Stalk,-61.31814105,251.4885421,38.1023429
E15C1_220_R,Stalk,-81.18286903,165.4957674,167.0453791
E15C1_198_AK,Tb,98.317401,-324.1317403,-168.9268379
E15C1_198_AL,Tb,102.9866494,-283.5454168,-174.3948623
E15C1_198_AN,Tb,147.052325,-68.15041847,-178.3186196
E15C1_198_AT,Tb,129.9314033,-120.4055331,-180.0224724
E15C1_198_I,Tb,212.284646,-86.72820823,-184.0912943
E15C1_208_A,Tb,231.8282392,57.26203158,-23.02228317
E15C1_208_B,Tb,202.82568,201.7580354,-48.45223106
E15C1_210_B,Tb,187.8384964,249.9819794,10.09625396
E15C1_212_B,Tb,234.1064531,132.0500777,36.18651718
E15C1_220_A,Tb,146.2579675,165.5475447,160.8285679
E15C1_206_AO,ExMes,-198.3988722,189.0963677,-49.66838008
E15C1_206_AP,ExMes,-199.5000042,171.7508819,-46.50046426
E15C1_206_BB,ExMes,-206.9959752,152.0351226,-57.87268259
E15C1_206_BD,ExMes,-193.1809385,51.85441914,-50.37992319
E15C1_206_BG,ExMes,-173.1262433,-6.292214777,-42.87087503
E15C1_206_BI,ExMes,-155.9987101,-104.7832584,-23.73500276
E15C1_206_BJ,ExMes,-151.6964174,-158.7187304,-47.41138771
E15C1_206_BL,ExMes,-94.25154356,-167.8934624,-54.63526242
E15C1_206_C,ExMes,110.4234442,134.8479754,-48.19221748
E15C1_206_D,ExMes,103.8323783,4.778553178,-72.99065885
E15C1_206_V,ExMes,101.8386058,-23.74506964,-64.86690678
E15C1_206_X,ExMes,87.65429303,-90.8487265,-55.83137868
E15C1_198_AR,ExMes,8.977015647,-124.3070651,-153.4573109
E15C1_198_AU,ExMes,70.07159675,78.29426685,-177.5276686
E15C1_198_AV,ExMes,-37.0785208,247.9240211,-172.501188
E15C1_198_L,ExMes,23.09034275,-373.756792,-184.0264657
E15C1_198_O,ExMes,-75.31157617,-177.9064899,-196.7194662
E15C1_198_P,ExMes,-108.3992306,-60.01486402,-204.5741724
E15C1_198_R,ExMes,-57.62111286,72.46843842,-169.9614714
E15C1_208_AK,ExMes,-193.995656,75.36669012,-27.75684291
E15C1_208_AL,ExMes,-196.2212341,93.56069583,-19.0248633
E15C1_208_AM,ExMes,-262.2790844,121.9059414,-24.27826765
E15C1_208_AN,ExMes,-260.0200035,175.4217275,-27.30088322
E15C1_208_AQ,ExMes,61.70971643,-178.2176935,-33.59232821
E15C1_208_AR,ExMes,99.21938398,-83.21984996,-18.79965236
E15C1_208_AU,ExMes,64.49388366,252.3853908,-19.40052464
E15C1_208_N,ExMes,106.9695684,-55.02961612,-23.30765376
E15C1_208_P,ExMes,122.2216129,32.97897855,-33.57027225
E15C1_208_R,ExMes,124.5977044,23.00730393,-20.10955367
E15C1_208_S,ExMes,124.7773717,54.42117244,-23.12751084
E15C1_208_V,ExMes,104.2785291,171.161677,-23.84006115
E15C1_210_AI,ExMes,-7.570715224,-239.4034837,15.6153064
E15C1_210_AJ,ExMes,54.87429618,-219.7712394,11.34144921
E15C1_210_AK,ExMes,-62.60645342,-223.9758924,10.20183808
E15C1_210_AU,ExMes,166.7065169,-100.8452817,17.62313532
E15C1_210_AV,ExMes,194.2563197,-51.39130547,18.28389474
E15C1_210_C,ExMes,72.57405998,244.3821894,8.485294338
E15C1_210_D,ExMes,50.4873677,276.837799,5.364358908
E15C1_210_J,ExMes,127.345733,76.26423484,7.875495181
E15C1_210_K,ExMes,102.783275,-70.32805106,8.989604604
E15C1_210_L,ExMes,117.3713674,-31.0361343,10.14496687
E15C1_210_M,ExMes,125.4852309,9.90187513,11.21037743
E15C1_210_N,ExMes,144.1435264,-146.9628308,18.28477015
E15C1_210_P,ExMes,83.76703596,-153.0718963,13.40815675
E15C1_210_Q,ExMes,89.87290533,-116.2795994,19.47987189
E15C1_210_R,ExMes,103.1031733,-65.26089261,17.9713683
E15C1_212_AA,ExMes,129.4770051,78.77421431,39.13308863
E15C1_212_AC,ExMes,125.7252023,132.7923339,40.92530228
E15C1_212_AG,ExMes,-144.077113,278.3594476,41.17764891
E15C1_212_C,ExMes,43.35166327,-233.7360389,50.25751678
E15C1_212_D,ExMes,113.0929519,-211.7273161,39.26990918
E15C1_212_V,ExMes,127.6180948,35.90928964,35.59995588
E15C1_220_AF,ExMes,6.350964869,-271.3292761,172.7052672
E15C1_220_AG,ExMes,-23.520792,-255.230698,198.333252
