"","marmoset_dataInVivo$LOC"
"ERR2851716Aligned.sortedByCoord.out.bam","E-MTAB-7078:Zygote_1"
"ERR2851717Aligned.sortedByCoord.out.bam","E-MTAB-7078:Zygote_2"
"ERR2851718Aligned.sortedByCoord.out.bam","E-MTAB-7078:Zygote_3"
"ERR2851719Aligned.sortedByCoord.out.bam","E-MTAB-7078:4cell_1_C1"
"ERR2851720Aligned.sortedByCoord.out.bam","E-MTAB-7078:4cell_1_C2"
"ERR2851721Aligned.sortedByCoord.out.bam","E-MTAB-7078:4cell_1_C3"
"ERR2851722Aligned.sortedByCoord.out.bam","E-MTAB-7078:4cell_1_C4"
"ERR2851723Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C1"
"ERR2851724Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C2"
"ERR2851725Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C3"
"ERR2851726Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C5"
"ERR2851727Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C6"
"ERR2851728Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C7"
"ERR2851729Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_1_C8"
"ERR2851730Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C1"
"ERR2851731Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C2"
"ERR2851732Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C3"
"ERR2851733Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C4"
"ERR2851734Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C5"
"ERR2851735Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C6"
"ERR2851736Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C7"
"ERR2851737Aligned.sortedByCoord.out.bam","E-MTAB-7078:8cell_2_C8"
"ERR2851738Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C1"
"ERR2851739Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C2"
"ERR2851740Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C4"
"ERR2851741Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C5"
"ERR2851742Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C6"
"ERR2851743Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C7"
"ERR2851744Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C8"
"ERR2851745Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C9"
"ERR2851746Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C10"
"ERR2851747Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C11"
"ERR2851748Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C12"
"ERR2851749Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C13"
"ERR2851750Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C14"
"ERR2851751Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C15"
"ERR2851752Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C16"
"ERR2851753Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C17"
"ERR2851754Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C18"
"ERR2851755Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C19"
"ERR2851756Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C20"
"ERR2851757Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C22"
"ERR2851758Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C23"
"ERR2851759Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_1_C24"
"ERR2851760Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C1"
"ERR2851761Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C2"
"ERR2851762Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C3"
"ERR2851763Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C4"
"ERR2851764Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C5"
"ERR2851765Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C6"
"ERR2851766Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C7"
"ERR2851767Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C8"
"ERR2851768Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C9"
"ERR2851769Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_2_C10"
"ERR2851770Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C1"
"ERR2851771Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C2"
"ERR2851772Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C3"
"ERR2851773Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C4"
"ERR2851774Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C5"
"ERR2851775Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C6"
"ERR2851776Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C7"
"ERR2851777Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C8"
"ERR2851778Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C9"
"ERR2851779Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C10"
"ERR2851780Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C11"
"ERR2851781Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C12"
"ERR2851782Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C13"
"ERR2851783Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C14"
"ERR2851784Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C15"
"ERR2851785Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C16"
"ERR2851786Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C17"
"ERR2851787Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C18"
"ERR2851788Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C19"
"ERR2851789Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C20"
"ERR2851790Aligned.sortedByCoord.out.bam","E-MTAB-7078:CompactedMorula_3_C21"
"ERR2851791Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C1"
"ERR2851792Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C5"
"ERR2851793Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C6"
"ERR2851794Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C7"
"ERR2851795Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C8"
