"","marmoset_dataInVivo$LOC"
"CME25A7619364Aligned.sortedByCoord.out.bam","E25B_48_A"
"CME25A7619367Aligned.sortedByCoord.out.bam","E25B_48_AK"
"CME25A7587397Aligned.sortedByCoord.out.bam","E25A_161_X"
"CME25A7587396Aligned.sortedByCoord.out.bam","E25A_161_L"
"CME25A7587392Aligned.sortedByCoord.out.bam","E25A_166_AB"
"CME25A7587394Aligned.sortedByCoord.out.bam","E25A_169_R"
"CME25A7587393Aligned.sortedByCoord.out.bam","E25A_169_F"
"CME25A7587395Aligned.sortedByCoord.out.bam","E25A_169_AD"
"CME25A7587388Aligned.sortedByCoord.out.bam","E25A_161_K"
"CME25A7587389Aligned.sortedByCoord.out.bam","E25A_161_W"
"CME25A7587385Aligned.sortedByCoord.out.bam","E25A_169_E"
"CME25A7587387Aligned.sortedByCoord.out.bam","E25A_169_AC"
"CME25A7587381Aligned.sortedByCoord.out.bam","E25A_161_V"
"CME25A7587382Aligned.sortedByCoord.out.bam","E25A_166_C"
"CME25A7587377Aligned.sortedByCoord.out.bam","E25A_169_D"
"CME25A7587384Aligned.sortedByCoord.out.bam","E25A_166_AA"
"CME25A7587379Aligned.sortedByCoord.out.bam","E25A_169_AB"
"CME25A7587375Aligned.sortedByCoord.out.bam","E25A_166_N"
"CME25A7587373Aligned.sortedByCoord.out.bam","E25A_161_U"
"CME25A7587370Aligned.sortedByCoord.out.bam","E25A_169_O"
"CME25A7587372Aligned.sortedByCoord.out.bam","E25A_161_I"
"CME25A7587371Aligned.sortedByCoord.out.bam","E25A_169_AA"
"CME25A7587362Aligned.sortedByCoord.out.bam","E25A_169_N"
"CME25A7587367Aligned.sortedByCoord.out.bam","E25A_166_M"
"CME25A7587361Aligned.sortedByCoord.out.bam","E25A_169_B"
"CME25A7587365Aligned.sortedByCoord.out.bam","E25A_161_T"
"CME25A7587364Aligned.sortedByCoord.out.bam","E25A_161_H"
"CME25A7587360Aligned.sortedByCoord.out.bam","E25A_166_X"
"CME25A7587359Aligned.sortedByCoord.out.bam","E25A_166_L"
"CME25A7587354Aligned.sortedByCoord.out.bam","E25A_169_M"
"CME25A7587352Aligned.sortedByCoord.out.bam","E25A_166_W"
"CME25A7587353Aligned.sortedByCoord.out.bam","E25A_169_A"
"CME25A7587357Aligned.sortedByCoord.out.bam","E25A_161_S"
"CME25A7587346Aligned.sortedByCoord.out.bam","E25A_169_L"
"CME25A7587348Aligned.sortedByCoord.out.bam","E25A_161_F"
"CME25A7587349Aligned.sortedByCoord.out.bam","E25A_161_R"
"CME25A7587345Aligned.sortedByCoord.out.bam","E25A_166_AH"
"CME25A7587347Aligned.sortedByCoord.out.bam","E25A_169_X"
"CME25A7587343Aligned.sortedByCoord.out.bam","E25A_166_J"
"CME25A7587342Aligned.sortedByCoord.out.bam","E25A_161_AC"
"CME25A7587341Aligned.sortedByCoord.out.bam","E25A_161_Q"
"CME25A7587339Aligned.sortedByCoord.out.bam","E25A_169_W"
"CME25A7587338Aligned.sortedByCoord.out.bam","E25A_169_K"
"CME25A7587335Aligned.sortedByCoord.out.bam","E25A_166_I"
"CME25A7587331Aligned.sortedByCoord.out.bam","E25A_169_V"
"CME25A7587334Aligned.sortedByCoord.out.bam","E25A_161_AB"
"CME25A7587330Aligned.sortedByCoord.out.bam","E25A_169_J"
"CME25A7587333Aligned.sortedByCoord.out.bam","E25A_161_P"
"CME25A7587329Aligned.sortedByCoord.out.bam","E25A_166_AF"
"CME25A7587332Aligned.sortedByCoord.out.bam","E25A_161_D"
"CME25A7587323Aligned.sortedByCoord.out.bam","E25A_169_U"
"CME25A7587324Aligned.sortedByCoord.out.bam","E25A_161_C"
"CME25A7587326Aligned.sortedByCoord.out.bam","E25A_161_AA"
"CME25A7587325Aligned.sortedByCoord.out.bam","E25A_161_O"
"CME25A7587321Aligned.sortedByCoord.out.bam","E25A_166_AE"
"CME25A7587314Aligned.sortedByCoord.out.bam","E25A_169_H"
"CME25A7587322Aligned.sortedByCoord.out.bam","E25A_169_I"
"CME25A7587319Aligned.sortedByCoord.out.bam","E25A_166_G"
"CME25A7587318Aligned.sortedByCoord.out.bam","E25A_161_Z"
"CME25A7587315Aligned.sortedByCoord.out.bam","E25A_169_T"
"CME25A7587313Aligned.sortedByCoord.out.bam","E25A_166_AD"
"CME25A7587316Aligned.sortedByCoord.out.bam","E25A_161_B"
"CME25A7587312Aligned.sortedByCoord.out.bam","E25A_166_R"
"CME25A7587311Aligned.sortedByCoord.out.bam","E25A_166_F"
"CME25A7587310Aligned.sortedByCoord.out.bam","E25A_161_Y"
"CME25A7587307Aligned.sortedByCoord.out.bam","E25A_201_AH"
"CME25A7587308Aligned.sortedByCoord.out.bam","E25A_161_A"
"CME25A7587305Aligned.sortedByCoord.out.bam","E25A_201_J"
"CME25A7587306Aligned.sortedByCoord.out.bam","E25A_201_V"
"CME25A7587300Aligned.sortedByCoord.out.bam","E25A_193_L"
"CME25A7587299Aligned.sortedByCoord.out.bam","E25A_201_AG"
"CME25A7587302Aligned.sortedByCoord.out.bam","E25A_195_B"
"CME25A7587301Aligned.sortedByCoord.out.bam","E25A_193_X"
"CME25A7587298Aligned.sortedByCoord.out.bam","E25A_201_U"
"CME25A7587297Aligned.sortedByCoord.out.bam","E25A_201_I"
"CME25A7587295Aligned.sortedByCoord.out.bam","E25A_195_M"
"CME25A7587293Aligned.sortedByCoord.out.bam","E25A_193_W"
"CME25A7587294Aligned.sortedByCoord.out.bam","E25A_195_A"
"CME25A7587296Aligned.sortedByCoord.out.bam","E25A_195_Y"
"CME25A7587291Aligned.sortedByCoord.out.bam","E25A_201_AF"
"CME25A7587288Aligned.sortedByCoord.out.bam","E25A_195_X"
"CME25A7587290Aligned.sortedByCoord.out.bam","E25A_201_T"
"CME25A7587284Aligned.sortedByCoord.out.bam","E25A_193_J"
"CME25A7587283Aligned.sortedByCoord.out.bam","E25A_201_AE"
"CME25A7587287Aligned.sortedByCoord.out.bam","E25A_195_L"
"CME25A7587286Aligned.sortedByCoord.out.bam","E25A_193_AH"
"CME25A7587285Aligned.sortedByCoord.out.bam","E25A_193_V"
"CME25A7587282Aligned.sortedByCoord.out.bam","E25A_201_S"
"CME25A7587280Aligned.sortedByCoord.out.bam","E25A_195_W"
"CME25A7587279Aligned.sortedByCoord.out.bam","E25A_195_K"
"CME25A7587275Aligned.sortedByCoord.out.bam","E25A_201_AD"
"CME25A7587278Aligned.sortedByCoord.out.bam","E25A_193_AG"
"CME25A7587274Aligned.sortedByCoord.out.bam","E25A_201_R"
"CME25A7587265Aligned.sortedByCoord.out.bam","E25A_201_E"
"CME25A7587270Aligned.sortedByCoord.out.bam","E25A_193_AF"
"CME25A7587267Aligned.sortedByCoord.out.bam","E25A_201_AC"
"CME25A7587261Aligned.sortedByCoord.out.bam","E25A_193_S"
"CME25A7587264Aligned.sortedByCoord.out.bam","E25A_195_U"
"CME25A7587269Aligned.sortedByCoord.out.bam","E25A_193_T"
"CME25A7587268Aligned.sortedByCoord.out.bam","E25A_193_H"
"CME25A7587266Aligned.sortedByCoord.out.bam","E25A_201_Q"
"CME25A7587263Aligned.sortedByCoord.out.bam","E25A_195_I"
"CME25A7587260Aligned.sortedByCoord.out.bam","E25A_193_G"
"CME25A7587259Aligned.sortedByCoord.out.bam","E25A_201_AB"
"CME25A7587255Aligned.sortedByCoord.out.bam","E25A_195_H"
"CME25A7587257Aligned.sortedByCoord.out.bam","E25A_201_D"
"CME25A7587258Aligned.sortedByCoord.out.bam","E25A_201_P"
"CME25A7587256Aligned.sortedByCoord.out.bam","E25A_195_T"
"CME25A7587252Aligned.sortedByCoord.out.bam","E25A_193_F"
"CME25A7587251Aligned.sortedByCoord.out.bam","E25A_201_AA"
"CME25A7587248Aligned.sortedByCoord.out.bam","E25A_195_S"
"CME25A7587249Aligned.sortedByCoord.out.bam","E25A_201_C"
"CME25A7587250Aligned.sortedByCoord.out.bam","E25A_201_O"
"CME25A7587242Aligned.sortedByCoord.out.bam","E25A_201_N"
"CME25A7587244Aligned.sortedByCoord.out.bam","E25A_193_E"
"CME25A7587240Aligned.sortedByCoord.out.bam","E25A_195_R"
"CME25A7587247Aligned.sortedByCoord.out.bam","E25A_195_G"
"CME25A7587246Aligned.sortedByCoord.out.bam","E25A_193_AC"
"CME25A7587245Aligned.sortedByCoord.out.bam","E25A_193_Q"
"CME25A7587218Aligned.sortedByCoord.out.bam","E25A_201_K"
"CME25A7587227Aligned.sortedByCoord.out.bam","E25A_201_X"
"CME25A7587230Aligned.sortedByCoord.out.bam","E25A_193_AA"
"CME25A7587228Aligned.sortedByCoord.out.bam","E25A_193_C"
"CME25A7587232Aligned.sortedByCoord.out.bam","E25A_195_Q"
"CME25A7587237Aligned.sortedByCoord.out.bam","E25A_193_P"
"CME25A7587236Aligned.sortedByCoord.out.bam","E25A_193_D"
"CME25A7587234Aligned.sortedByCoord.out.bam","E25A_201_M"
"CME25A7587235Aligned.sortedByCoord.out.bam","E25A_201_Y"
"CME25A7587226Aligned.sortedByCoord.out.bam","E25A_201_L"
"CME25A7587225Aligned.sortedByCoord.out.bam","E25A_195_AB"
"CME25A7587223Aligned.sortedByCoord.out.bam","E25A_195_D"
"CME25A7587224Aligned.sortedByCoord.out.bam","E25A_195_P"
"CME25A7587222Aligned.sortedByCoord.out.bam","E25A_193_Z"
"CME25A7587217Aligned.sortedByCoord.out.bam","E25A_195_AA"
"CME25A7587220Aligned.sortedByCoord.out.bam","E25A_193_B"
"CME25A7587219Aligned.sortedByCoord.out.bam","E25A_201_W"
"CME25A7587216Aligned.sortedByCoord.out.bam","E25A_195_O"
"CME25A7587215Aligned.sortedByCoord.out.bam","E25A_195_C"
"CME25A7587214Aligned.sortedByCoord.out.bam","E25A_193_Y"
"CME25A7587213Aligned.sortedByCoord.out.bam","E25A_193_M"
"SLX.16564.i715_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_T"
"SLX.16564.i715_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_H"
"SLX.16564.i715_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_R"
"SLX.16564.i715_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_D"
"SLX.16564.i715_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_T"
"SLX.16564.i714_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_S"
"SLX.16564.i714_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_G"
"SLX.16564.i714_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_G"
"SLX.16564.i714_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_AC"
"SLX.16564.i714_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_Q"
"SLX.16564.i714_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_S"
"SLX.16564.i714_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_E"
"SLX.16564.i714_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_C"
"SLX.16564.i712_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_R"
"SLX.16564.i712_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_F"
"SLX.16564.i712_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_P"
"SLX.16564.i712_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_D"
"SLX.16564.i712_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_B"
"SLX.16564.i712_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_R"
"SLX.16564.i712_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_F"
"SLX.16564.i711_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_Q"
"SLX.16564.i711_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_E"
"SLX.16564.i711_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_O"
"SLX.16564.i711_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_C"
"SLX.16564.i711_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_AA"
"SLX.16564.i711_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_Q"
"SLX.16564.i711_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_A"
"SLX.16564.i710_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_P"
"SLX.16564.i710_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_D"
"SLX.16564.i710_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_N"
"SLX.16564.i710_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_B"
"SLX.16564.i707_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_A"
"SLX.16564.i707_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_O"
"SLX.16564.i707_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_O"
"SLX.16564.i710_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AM"
"SLX.16564.i707_i507.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_M"
"SLX.16564.i707_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_C"
"SLX.16564.i710_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_D"
"SLX.16564.i707_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_C"
"SLX.16564.i707_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_Y"
"SLX.16564.i707_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AL"
"SLX.16564.i706_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_N"
"SLX.16564.i706_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_Z"
"SLX.16564.i706_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_B"
"SLX.16564.i706_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_X"
"SLX.16564.i706_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_N"
"SLX.16564.i706_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_B"
"SLX.16564.i705_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_A"
"SLX.16564.i705_i506.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_Y"
"SLX.16564.i705_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AJ"
"SLX.16564.i704_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_AH"
"SLX.16564.i704_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_V"
"SLX.16564.i704_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_H"
"SLX.16564.i704_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_L"
"SLX.16564.i703_i510.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_AG"
"SLX.16564.i704_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AI"
"SLX.16564.i703_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_U"
"SLX.16564.i703_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_G"
"SLX.16564.i703_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_K"
"SLX.16564.i702_i511.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_190_J"
"SLX.16564.i703_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AH"
"SLX.16564.i701_i503.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_174_E"
"SLX.16564.i702_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_T"
"SLX.16564.i701_i502.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_169_AF"
"SLX.16564.i701_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_I"
"SLX.16564.i701_i508.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_184_S"
"SLX.16564.i702_i505.HWCLLBBXX.s_8.rAligned.sortedByCoord.out.bam","E25A_180_J"
"X3536STDY8652478Aligned.sortedByCoord.out.bam","E25B_59_T"
"X3536STDY8652479Aligned.sortedByCoord.out.bam","E25B_59_AF"
"X3536STDY8652485Aligned.sortedByCoord.out.bam","E25B_50_AO"
"X3536STDY8652486Aligned.sortedByCoord.out.bam","E25B_59_U"
"X3536STDY8652493Aligned.sortedByCoord.out.bam","E25B_59_J"
"X3536STDY8652494Aligned.sortedByCoord.out.bam","E25B_59_V"
"X3536STDY8652501Aligned.sortedByCoord.out.bam","E25B_59_K"
"X3536STDY8652502Aligned.sortedByCoord.out.bam","E25B_59_W"
"X3536STDY8652510Aligned.sortedByCoord.out.bam","E25B_59_X"
"X3536STDY8652511Aligned.sortedByCoord.out.bam","E25B_59_AJ"
"X3536STDY8652516Aligned.sortedByCoord.out.bam","E25B_50_AG"
"X3536STDY8652517Aligned.sortedByCoord.out.bam","E25B_59_M"
"X3536STDY8652518Aligned.sortedByCoord.out.bam","E25B_59_Y"
"X3536STDY8652519Aligned.sortedByCoord.out.bam","E25B_59_AK"
"X3536STDY8652524Aligned.sortedByCoord.out.bam","E25B_50_AH"
"X3536STDY8652526Aligned.sortedByCoord.out.bam","E25B_59_Z"
"X3536STDY8652527Aligned.sortedByCoord.out.bam","E25B_59_AL"
"X3536STDY8652532Aligned.sortedByCoord.out.bam","E25B_50_AI"
"X3536STDY8652533Aligned.sortedByCoord.out.bam","E25B_59_O"
"X3536STDY8652534Aligned.sortedByCoord.out.bam","E25B_59_AA"
"X3536STDY8652541Aligned.sortedByCoord.out.bam","E25B_59_P"
"X3536STDY8652542Aligned.sortedByCoord.out.bam","E25B_59_AB"
"X3536STDY8652548Aligned.sortedByCoord.out.bam","E25B_50_AK"
"X3536STDY8652549Aligned.sortedByCoord.out.bam","E25B_59_Q"
"X3536STDY8652550Aligned.sortedByCoord.out.bam","E25B_59_AC"
"X3536STDY8652556Aligned.sortedByCoord.out.bam","E25B_50_AL"
"X3536STDY8652557Aligned.sortedByCoord.out.bam","E25B_59_R"
"X3536STDY8652558Aligned.sortedByCoord.out.bam","E25B_59_AD"
"X3536STDY8652559Aligned.sortedByCoord.out.bam","E25B_59_AP"
"X3536STDY8652564Aligned.sortedByCoord.out.bam","E25B_50_AM"
"X3536STDY8652565Aligned.sortedByCoord.out.bam","E25B_59_S"
"X3536STDY8652566Aligned.sortedByCoord.out.bam","E25B_59_AE"
"X3536STDY8652567Aligned.sortedByCoord.out.bam","E25B_59_AQ"
"X3536STDY8494228Aligned.sortedByCoord.out.bam","E25B_37_Y"
"X3536STDY8494229Aligned.sortedByCoord.out.bam","E25B_50_K"
"X3536STDY8494230Aligned.sortedByCoord.out.bam","E25B_50_W"
"X3536STDY8494233Aligned.sortedByCoord.out.bam","E25A_138_C"
"X3536STDY8494235Aligned.sortedByCoord.out.bam","E25B_37_N"
"X3536STDY8494237Aligned.sortedByCoord.out.bam","E25B_50_L"
"X3536STDY8494238Aligned.sortedByCoord.out.bam","E25B_50_X"
"X3536STDY8494242Aligned.sortedByCoord.out.bam","E25B_37_C"
"X3536STDY8494243Aligned.sortedByCoord.out.bam","E25B_37_O"
"X3536STDY8494246Aligned.sortedByCoord.out.bam","E25B_50_Y"
"X3536STDY8494249Aligned.sortedByCoord.out.bam","E25A_138_E"
"X3536STDY8494250Aligned.sortedByCoord.out.bam","E25B_37_D"
"X3536STDY8494251Aligned.sortedByCoord.out.bam","E25B_37_P"
"X3536STDY8494253Aligned.sortedByCoord.out.bam","E25B_50_N"
"X3536STDY8494254Aligned.sortedByCoord.out.bam","E25B_50_Z"
"X3536STDY8494257Aligned.sortedByCoord.out.bam","E25A_138_F"
"X3536STDY8494259Aligned.sortedByCoord.out.bam","E25B_37_Q"
"X3536STDY8494261Aligned.sortedByCoord.out.bam","E25B_50_O"
"X3536STDY8494266Aligned.sortedByCoord.out.bam","E25B_37_F"
"X3536STDY8494267Aligned.sortedByCoord.out.bam","E25B_37_R"
"X3536STDY8494268Aligned.sortedByCoord.out.bam","E25B_50_D"
"X3536STDY8494274Aligned.sortedByCoord.out.bam","E25B_37_G"
"X3536STDY8494275Aligned.sortedByCoord.out.bam","E25B_37_S"
"X3536STDY8494277Aligned.sortedByCoord.out.bam","E25B_50_Q"
"X3536STDY8494282Aligned.sortedByCoord.out.bam","E25B_37_H"
"X3536STDY8494283Aligned.sortedByCoord.out.bam","E25B_37_T"
"X3536STDY8494285Aligned.sortedByCoord.out.bam","E25B_50_R"
"X3536STDY8494290Aligned.sortedByCoord.out.bam","E25B_37_I"
"X3536STDY8494293Aligned.sortedByCoord.out.bam","E25B_50_S"
"X3536STDY8494294Aligned.sortedByCoord.out.bam","E25B_50_AE"
"X3536STDY8494297Aligned.sortedByCoord.out.bam","E25A_138_K"
"X3536STDY8494298Aligned.sortedByCoord.out.bam","E25B_37_J"
"X3536STDY8494299Aligned.sortedByCoord.out.bam","E25B_37_V"
"X3536STDY8494305Aligned.sortedByCoord.out.bam","E25A_138_L"
"X3536STDY8494307Aligned.sortedByCoord.out.bam","E25B_37_W"
"X3536STDY8494312Aligned.sortedByCoord.out.bam","E25A_138_B"
"X3536STDY8494314Aligned.sortedByCoord.out.bam","E25B_37_L"
"X3536STDY8494315Aligned.sortedByCoord.out.bam","E25B_37_X"
"X3536STDY8494316Aligned.sortedByCoord.out.bam","E25B_50_J"
"X3536STDY8494317Aligned.sortedByCoord.out.bam","E25B_50_V"
"X3536STDY8494321Aligned.sortedByCoord.out.bam","E25A_138_N"
"X3536STDY8494322Aligned.sortedByCoord.out.bam","E25D_109_A"
"X3536STDY8494326Aligned.sortedByCoord.out.bam","E25D_109_AW"
"X3536STDY8494330Aligned.sortedByCoord.out.bam","E25D_109_B"
"X3536STDY8494331Aligned.sortedByCoord.out.bam","E25D_109_N"
"X3536STDY8494334Aligned.sortedByCoord.out.bam","E25D_109_AX"
"X3536STDY8494338Aligned.sortedByCoord.out.bam","E25D_109_C"
"X3536STDY8494339Aligned.sortedByCoord.out.bam","E25D_109_O"
"X3536STDY8494340Aligned.sortedByCoord.out.bam","E25D_109_AA"
"X3536STDY8494341Aligned.sortedByCoord.out.bam","E25D_109_AM"
"X3536STDY8494346Aligned.sortedByCoord.out.bam","E25D_109_D"
"X3536STDY8494347Aligned.sortedByCoord.out.bam","E25D_109_P"
"X3536STDY8494350Aligned.sortedByCoord.out.bam","E25D_109_AZ"
"X3536STDY8494354Aligned.sortedByCoord.out.bam","E25D_109_E"
"X3536STDY8494355Aligned.sortedByCoord.out.bam","E25D_109_Q"
"X3536STDY8494357Aligned.sortedByCoord.out.bam","E25D_109_AO"
"X3536STDY8494358Aligned.sortedByCoord.out.bam","E25D_109_BA"
"X3536STDY8494363Aligned.sortedByCoord.out.bam","E25D_109_R"
"X3536STDY8494371Aligned.sortedByCoord.out.bam","E25D_109_S"
"X3536STDY8494378Aligned.sortedByCoord.out.bam","E25D_109_H"
"X3536STDY8494379Aligned.sortedByCoord.out.bam","E25D_109_T"
"X3536STDY8494381Aligned.sortedByCoord.out.bam","E25D_109_AR"
"X3536STDY8494382Aligned.sortedByCoord.out.bam","E25D_109_BD"
"X3536STDY8494386Aligned.sortedByCoord.out.bam","E25D_109_I"
"X3536STDY8494389Aligned.sortedByCoord.out.bam","E25D_109_AS"
"X3536STDY8494394Aligned.sortedByCoord.out.bam","E25D_109_J"
"X3536STDY8494395Aligned.sortedByCoord.out.bam","E25D_109_V"
"X3536STDY8494397Aligned.sortedByCoord.out.bam","E25D_109_AT"
"X3536STDY8494404Aligned.sortedByCoord.out.bam","E25D_109_AI"
"X3536STDY8494410Aligned.sortedByCoord.out.bam","E25D_109_L"
"SLX.20304.i715_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_O"
"SLX.20304.i715_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_AA"
"SLX.20304.i715_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_O"
"SLX.20304.i715_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_L"
"SLX.20304.i715_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_C"
"SLX.20304.i715_i508.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_C"
"SLX.20304.i715_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_AA"
"SLX.20304.i714_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_Z"
"SLX.20304.i714_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_K"
"SLX.20304.i714_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_B"
"SLX.20304.i714_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_N"
"SLX.20304.i714_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_N"
"SLX.20304.i714_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_W"
"SLX.20304.i712_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_M"
"SLX.20304.i712_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_Y"
"SLX.20304.i712_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_Y"
"SLX.20304.i712_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_A"
"SLX.20304.i712_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_J"
"SLX.20304.i711_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_L"
"SLX.20304.i711_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_X"
"SLX.20304.i711_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_L"
"SLX.20304.i711_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_X"
"SLX.20304.i711_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AT"
"SLX.20304.i711_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_U"
"SLX.20304.i710_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_W"
"SLX.20304.i710_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_K"
