Filename,SRR,ID,Day,Type,Type2,Type3,Type4,Type5,Order
SRR10039983Aligned.sortedByCoord.out.bam,SRR10039983,D14A1S32,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,71
SRR10039976Aligned.sortedByCoord.out.bam,SRR10039976,D14A1S26,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,72
SRR10039980Aligned.sortedByCoord.out.bam,SRR10039980,D14A1S2,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,73
SRR10039977Aligned.sortedByCoord.out.bam,SRR10039977,D14A1S27,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,74
SRR10039979Aligned.sortedByCoord.out.bam,SRR10039979,D14A1S29,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,75
SRR10039966Aligned.sortedByCoord.out.bam,SRR10039966,D14A1S17,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,76
SRR10039978Aligned.sortedByCoord.out.bam,SRR10039978,D14A1S28,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,77
SRR10039970Aligned.sortedByCoord.out.bam,SRR10039970,D14A1S20,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,78
SRR10039969Aligned.sortedByCoord.out.bam,SRR10039969,D14A1S1,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,79
SRR10039972Aligned.sortedByCoord.out.bam,SRR10039972,D14A1S22,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,80
SRR10039974Aligned.sortedByCoord.out.bam,SRR10039974,D14A1S24,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,81
SRR10039968Aligned.sortedByCoord.out.bam,SRR10039968,D14A1S19,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,82
SRR10039971Aligned.sortedByCoord.out.bam,SRR10039971,D14A1S21,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,83
SRR10039967Aligned.sortedByCoord.out.bam,SRR10039967,D14A1S18,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,84
SRR10039973Aligned.sortedByCoord.out.bam,SRR10039973,D14A1S23,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,85
SRR10039964Aligned.sortedByCoord.out.bam,SRR10039964,D14A1S15,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,86
SRR10039965Aligned.sortedByCoord.out.bam,SRR10039965,D14A1S16,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,87
SRR10039961Aligned.sortedByCoord.out.bam,SRR10039961,D14A1S12,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,88
SRR10039963Aligned.sortedByCoord.out.bam,SRR10039963,D14A1S14,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,89
SRR10039958Aligned.sortedByCoord.out.bam,SRR10039958,D14A1B9,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,90
SRR10039962Aligned.sortedByCoord.out.bam,SRR10039962,D14A1S13,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,91
SRR10039957Aligned.sortedByCoord.out.bam,SRR10039957,D14A1B8,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,92
SRR10039949Aligned.sortedByCoord.out.bam,SRR10039949,D14A1B27,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,93
SRR10039948Aligned.sortedByCoord.out.bam,SRR10039948,D14A1B26,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,94
