File,ID,CompID,CompID,Location,uLoc,EmbryoStage,EmbryoID,Carnegie Stage,Annotation,Annotation2,Annotation3,Order,Unique_Reads,%Mapped,%Mapped_to_annotation_base,%Mapped_to_annotation_5kbextended,%Mapped_to_annotation_1kbextended,QC,NoGenes,FinalAverage,All,vsCyno,Table,PreImp,vsCynoMin,PostImp,AllPImp,ForMapping,MapES,SpatialModelPlus,vsCynoClara,SpatialModelPlus2
CME25A7812711Aligned.sortedByCoord.out.bam,CME25A7812711,CME25A7812711,CME25A7812711,P1_E15B_193_AT,Gland_CS5_P1_E15B_193_AT,E15,E15B,CS5,Gland_CS5_,Gland_CS5,Gland_CS5,53,2567226,0.8687,0.36326218,0.417907439,0.385056593,1,12915,1,1,0,1,0,0,1,1,1,0,0,0,0
CME25A7812705Aligned.sortedByCoord.out.bam,CME25A7812705,CME25A7812705,CME25A7812705,P1_E15B_193_AN,Tb_CS5_P1_E15B_193_AN,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,55,3512887,0.8186,0.111043287,0.158521335,0.12821044,1,8533,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812706Aligned.sortedByCoord.out.bam,CME25A7812706,CME25A7812706,CME25A7812706,P1_E15B_193_AO,ReStroma_CS5_P1_E15B_193_AO,E15,E15B,CS5,ReStroma_CS5_,ReStroma_CS5,ReStroma_CS5,56,2436494,0.5797,0.125028461,0.180652605,0.145684252,1,4148,1,0,0,1,0,0,1,1,1,0,0,0,0
CME25A7812708Aligned.sortedByCoord.out.bam,CME25A7812708,CME25A7812708,CME25A7812708,P1_E15B_193_AQ,Tb_CS5_P1_E15B_193_AQ,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,57,1512156,0.6289,0.352215461,0.437020058,0.397765605,1,6590,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812701Aligned.sortedByCoord.out.bam,CME25A7812701,CME25A7812701,CME25A7812701,P1_E15B_193_AJ,Tb_CS5_P1_E15B_193_AJ,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,59,3363007,0.7967,0.192154697,0.256915473,0.218795238,1,7954,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812703Aligned.sortedByCoord.out.bam,CME25A7812703,CME25A7812703,CME25A7812703,P1_E15B_193_AL,Tb_CS5_P1_E15B_193_AL,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,60,1934051,0.8108,0.26563809,0.342146288,0.299745458,1,8332,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812704Aligned.sortedByCoord.out.bam,CME25A7812704,CME25A7812704,CME25A7812704,P1_E15B_193_AM,Tb_CS5_P1_E15B_193_AM,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,61,2091281,0.8046,0.18064882,0.237578868,0.203519179,1,8931,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812702Aligned.sortedByCoord.out.bam,CME25A7812702,CME25A7812702,CME25A7812702,P1_E15B_193_AK,Tb_CS5_P1_E15B_193_AK,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,62,2116692,0.8598,0.163453974,0.218751728,0.186586057,1,10307,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812700Aligned.sortedByCoord.out.bam,CME25A7812700,CME25A7812700,CME25A7812700,P1_E15B_193_AI,Tb_CS5_P1_E15B_193_AI,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,63,3068600,0.714,0.292909602,0.377063995,0.336862635,1,6231,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812695Aligned.sortedByCoord.out.bam,CME25A7812695,CME25A7812695,CME25A7812695,P1_E15B_193_AD,ExMes_CS5_P1_E15B_193_AD,E15,E15B,CS5,ExMes_CS5_,ExMes_CS5,ExMes_CS5,64,2504385,0.6924,0.386339217,0.473779814,0.429109035,1,6437,1,1,1,1,0,1,1,1,1,1,1,1,1
