File,ID,Desc,ID2,ID3,Section,Position,Stage,PosID,Embryo,IsEmb,NotRef,Order
SRR7984387Aligned.sortedByCoord.out.bam,SRR7984387,Stage E7.0 embryo Ref section 10 region EA (E7.0_Ref_10EA),E7.0_Ref_10EA,10EA.E7.0,10,EA,E7.0,10EA.E7.0,Ref,1,0,601
SRR7984344Aligned.sortedByCoord.out.bam,SRR7984344,Stage E7.0 embryo 2 section 9 region P (E7.0_2_9P),E7.0_2_9P,9P.E7.0,9,P,E7.0,9P.E7.0,2,1,1,602
SRR7984345Aligned.sortedByCoord.out.bam,SRR7984345,Stage E7.0 embryo 2 section 9 region R (E7.0_2_9R),E7.0_2_9R,9R.E7.0,9,R,E7.0,9R.E7.0,2,1,1,603
SRR7984340Aligned.sortedByCoord.out.bam,SRR7984340,Stage E7.0 embryo 2 section 9 region EA (E7.0_2_9EA),E7.0_2_9EA,9EA.E7.0,9,EA,E7.0,9EA.E7.0,2,1,1,604
SRR7984342Aligned.sortedByCoord.out.bam,SRR7984342,Stage E7.0 embryo 2 section 9 region L (E7.0_2_9L),E7.0_2_9L,9L.E7.0,9,L,E7.0,9L.E7.0,2,1,1,605
SRR7984343Aligned.sortedByCoord.out.bam,SRR7984343,Stage E7.0 embryo 2 section 9 region M (E7.0_2_9M),E7.0_2_9M,9M.E7.0,9,M,E7.0,9M.E7.0,2,1,1,606
SRR7984341Aligned.sortedByCoord.out.bam,SRR7984341,Stage E7.0 embryo 2 section 9 region EP (E7.0_2_9EP),E7.0_2_9EP,9EP.E7.0,9,EP,E7.0,9EP.E7.0,2,1,1,607
SRR7984338Aligned.sortedByCoord.out.bam,SRR7984338,Stage E7.0 embryo 2 section 8 region P (E7.0_2_8P),E7.0_2_8P,8P.E7.0,8,P,E7.0,8P.E7.0,2,1,1,608
SRR7984339Aligned.sortedByCoord.out.bam,SRR7984339,Stage E7.0 embryo 2 section 9 region A (E7.0_2_9A),E7.0_2_9A,9A.E7.0,9,A,E7.0,9A.E7.0,2,1,1,609
SRR7984337Aligned.sortedByCoord.out.bam,SRR7984337,Stage E7.0 embryo 2 section 8 region M (E7.0_2_8M),E7.0_2_8M,8M.E7.0,8,M,E7.0,8M.E7.0,2,1,1,610
SRR7984336Aligned.sortedByCoord.out.bam,SRR7984336,Stage E7.0 embryo 2 section 8 region EP (E7.0_2_8EP),E7.0_2_8EP,8EP.E7.0,8,EP,E7.0,8EP.E7.0,2,1,1,611
SRR7984334Aligned.sortedByCoord.out.bam,SRR7984334,Stage E7.0 embryo 2 section 7 region P (E7.0_2_7P),E7.0_2_7P,7P.E7.0,7,P,E7.0,7P.E7.0,2,1,1,612
SRR7984333Aligned.sortedByCoord.out.bam,SRR7984333,Stage E7.0 embryo 2 section 7 region M (E7.0_2_7M),E7.0_2_7M,7M.E7.0,7,M,E7.0,7M.E7.0,2,1,1,613
SRR7984335Aligned.sortedByCoord.out.bam,SRR7984335,Stage E7.0 embryo 2 section 8 region EA (E7.0_2_8EA),E7.0_2_8EA,8EA.E7.0,8,EA,E7.0,8EA.E7.0,2,1,1,614
SRR7984332Aligned.sortedByCoord.out.bam,SRR7984332,Stage E7.0 embryo 2 section 7 region EP (E7.0_2_7EP),E7.0_2_7EP,7EP.E7.0,7,EP,E7.0,7EP.E7.0,2,1,1,615
SRR7984331Aligned.sortedByCoord.out.bam,SRR7984331,Stage E7.0 embryo 2 section 7 region EA (E7.0_2_7EA),E7.0_2_7EA,7EA.E7.0,7,EA,E7.0,7EA.E7.0,2,1,1,616
SRR7984330Aligned.sortedByCoord.out.bam,SRR7984330,Stage E7.0 embryo 2 section 6 region R (E7.0_2_6R),E7.0_2_6R,6R.E7.0,6,R,E7.0,6R.E7.0,2,1,1,617
SRR7984329Aligned.sortedByCoord.out.bam,SRR7984329,Stage E7.0 embryo 2 section 6 region P (E7.0_2_6P),E7.0_2_6P,6P.E7.0,6,P,E7.0,6P.E7.0,2,1,1,618
SRR7984327Aligned.sortedByCoord.out.bam,SRR7984327,Stage E7.0 embryo 2 section 6 region L (E7.0_2_6L),E7.0_2_6L,6L.E7.0,6,L,E7.0,6L.E7.0,2,1,1,619
SRR7984328Aligned.sortedByCoord.out.bam,SRR7984328,Stage E7.0 embryo 2 section 6 region M (E7.0_2_6M),E7.0_2_6M,6M.E7.0,6,M,E7.0,6M.E7.0,2,1,1,620
SRR7984326Aligned.sortedByCoord.out.bam,SRR7984326,Stage E7.0 embryo 2 section 6 region EP (E7.0_2_6EP),E7.0_2_6EP,6EP.E7.0,6,EP,E7.0,6EP.E7.0,2,1,1,621
SRR7984323Aligned.sortedByCoord.out.bam,SRR7984323,Stage E7.0 embryo 2 section 5 region P (E7.0_2_5P),E7.0_2_5P,5P.E7.0,5,P,E7.0,5P.E7.0,2,1,1,622
