x,y,z,shot,tissue
185.1437954,98.24906425,41.0307142,249_G,EmDisc
202.7393605,108.8198362,57.57959429,249_G,PGC
211.6181604,176.5357992,-15.17159987,249_G,SYS
215.5623526,109.7070459,41.45436084,249_H,EmDisc
213.6745812,115.5546907,39.67428812,249_H,PGC
217.232178,182.373993,-5.418867,249_H,SYS
78.75900535,103.5321458,34.76895498,249_P,EmDisc
129.9537386,128.8071779,91.1694982,249_P,PGC
53.10087335,174.0424077,134.3730538,249_P,SYS
57.12194577,73.43738288,34.29297329,249_Q,EmDisc
130.894089,125.981361,93.076439,249_Q,PGC
-0.499434713,115.3942203,142.0580082,249_Q,SYS
112.939531,10.35293135,53.98943035,249_R,EmDisc
181.0640734,68.13269792,81.20604138,249_R,PGC
-5.639825,106.991913,142.916626,249_R,SYS
-181.7431181,-308.6688735,43.41851569,249_S,ExMes
-267.3727688,-240.3060044,39.98068869,249_T,Am
-223.3885341,-253.8185492,40.0738764,249_U,Am
-214.2764164,-254.8339929,39.58843049,249_V,Am
-189.7737697,-256.4350529,40.01831249,249_W,Am
-82.20009413,-41.12159266,39.04856473,249_Y,EmDisc
128.434509,127.558678,94.449844,249_Y,PGC
-143.9887322,-42.89451587,-60.12731217,249_Y,SYS
-62.47008686,-148.6636598,37.33221989,249_Z,EmDisc
186.232788,60.287392,79.464195,249_Z,PGC
-145.444748,-49.503624,-61.58725,249_Z,SYS
254.3636366,75.32585245,133.3301505,255_A,Tb
-213.8542071,-38.75610525,125.5863018,255_AA,VE
-12.92929903,105.0991655,117.3537623,255_AE,VE
27.82013526,162.8424737,118.9100077,255_AF,VE
103.9167827,259.0026743,124.3915623,255_AI,ExMes
33.54940913,292.4531077,129.9229298,255_AJ,ExMes
66.94807331,374.7306755,142.1628869,255_AK,ExMes
-4.186939113,350.8566183,129.9999614,255_AL,ExMes
-73.6874521,316.3721559,129.1444752,255_AM,ExMes
-260.7681579,-104.0849979,133.3112866,255_AQ,EmDisc
129.444489,126.256058,97.749046,255_AQ,PGC
-277.3317973,-2.691409047,123.2763515,255_AQ,SYS
-115.6507348,-360.996884,140.6480509,255_AV,ExMes
225.5418982,7.049756879,133.2405852,255_B,Tb
77.35220309,66.00090543,141.1645268,255_C,Am
96.28631331,56.91257946,142.065414,255_D,Am
41.47322732,29.34152377,144.6117247,255_E,Am
65.60063547,13.74070071,146.0780591,255_F,Am
12.31790515,-58.60625495,139.4351399,255_G,Am
-27.52115819,-110.9994693,138.154059,255_I,Am
6.075065864,-130.7846751,139.8712472,255_J,Am
-68.74460005,-162.0880847,131.1328089,255_L,Am
-120.5119069,-218.9998696,147.3040894,255_M,Am
169.8391623,-71.23995739,133.4157489,255_P,Tb
155.432474,-86.0024257,133.4647561,255_Q,Tb
-173.541073,-107.321056,145.5886293,255_R,EmDisc
130.632324,124.532249,97.715691,255_R,PGC
-192.135361,12.641515,138.79631,255_R,SYS
-116.7708231,-73.5113675,149.3027269,255_S,EmDisc
130.632324,124.532249,97.715691,255_S,PGC
-142.187347,21.992477,139.619339,255_S,SYS
-69.33134435,-57.24831185,149.2684404,255_T,EmDisc
130.632324,124.532249,97.715691,255_T,PGC
-114.247856,33.359409,146.467636,255_T,SYS
-37.19571561,-6.481187873,135.0233029,255_U,EmDisc
130.896255,124.900726,100.441635,255_U,PGC
-80.739388,53.351265,146.59697,255_U,SYS
12.13234146,24.41430116,121.9707393,255_V,EmDisc
130.896255,124.900726,100.441635,255_V,PGC
-29.3072718,86.66777497,145.9781943,255_V,SYS
39.86007397,72.04206496,128.1935633,255_W,EmDisc
129.748474,126.680672,100.446747,255_W,PGC
-6.41928172,105.2383677,144.0412693,255_W,SYS
66.80149437,116.6743423,127.7560115,255_X,EmDisc
128.3556033,133.8358044,103.0591902,255_X,PGC
34.28365351,153.2617956,145.2804645,255_X,SYS
82.98114271,175.7141033,148.8090826,255_Y,ExMes
106.9796811,108.8634163,136.9848088,255_Z,Am
